t,etape,en_mouvement,attach_x,attach_y,yaw_ref,tcp_base_x,tcp_base_y,tcp_helper_x,tcp_helper_y
0.0003,init,0,-0.17137,0.28194,1.32710,0.62653,0.09183,-0.23543,0.24641
0.0105,init,0,-0.16912,0.28065,1.32693,0.62656,0.09181,-0.23542,0.24644
0.0206,init,0,-0.16912,0.28065,1.32693,0.62655,0.09180,-0.23541,0.24644
0.0307,init,0,-0.16912,0.28065,1.32693,0.62658,0.09179,-0.23541,0.24647
0.0408,init,0,-0.16912,0.28065,1.32693,0.62657,0.09179,-0.23541,0.24646
0.0509,init,0,-0.16912,0.28065,1.32693,0.62660,0.09178,-0.23541,0.24649
0.0611,init,0,-0.16912,0.28065,1.32693,0.62661,0.09179,-0.23542,0.24649
0.0713,init,0,-0.16866,0.28241,1.32887,0.62659,0.09182,-0.23544,0.24647
0.0816,init,0,-0.16866,0.28241,1.32887,0.62659,0.09179,-0.23541,0.24648
0.0919,init,0,-0.16866,0.28241,1.32887,0.62658,0.09184,-0.23546,0.24646
0.1022,init,0,-0.16866,0.28241,1.32887,0.62659,0.09183,-0.23545,0.24647
0.1125,init,0,-0.16866,0.28241,1.32887,0.62659,0.09182,-0.23544,0.24647
0.1228,init,0,-0.16297,0.27848,1.32330,0.62659,0.09182,-0.23544,0.24647
0.1329,init,0,-0.16297,0.27848,1.32330,0.62657,0.09182,-0.23543,0.24645
0.1430,init,0,-0.16297,0.27848,1.32330,0.62659,0.09180,-0.23542,0.24647
0.1531,init,0,-0.16297,0.27848,1.32330,0.62653,0.09182,-0.23542,0.24641
0.1632,init,0,-0.16297,0.27848,1.32330,0.62657,0.09182,-0.23543,0.24645
0.1733,init,0,-0.16297,0.27848,1.32330,0.62652,0.09183,-0.23543,0.24640
0.1834,init,0,-0.16297,0.27848,1.32330,0.62656,0.09182,-0.23544,0.24644
0.1935,init,0,-0.16871,0.28338,1.32444,0.62656,0.09179,-0.23541,0.24645
0.2036,init,0,-0.16871,0.28338,1.32444,0.62659,0.09183,-0.23545,0.24647
0.2136,init,0,-0.16871,0.28338,1.32444,0.62660,0.09179,-0.23542,0.24648
0.2237,init,0,-0.16871,0.28338,1.32444,0.62657,0.09179,-0.23541,0.24646
0.2340,init,0,-0.16871,0.28338,1.32444,0.62656,0.09183,-0.23544,0.24643
0.2442,init,0,-0.16871,0.28338,1.32444,0.62657,0.09180,-0.23541,0.24645
0.2544,init,0,-0.16640,0.28100,1.31973,0.62654,0.09181,-0.23542,0.24643
0.2647,init,0,-0.16640,0.28100,1.31973,0.62657,0.09182,-0.23544,0.24645
0.2750,init,0,-0.16640,0.28100,1.31973,0.62659,0.09179,-0.23541,0.24648
0.2852,init,0,-0.16640,0.28100,1.31973,0.62656,0.09181,-0.23542,0.24644
0.2955,init,0,-0.16640,0.28100,1.31973,0.62656,0.09183,-0.23544,0.24644
0.3058,init,0,-0.16640,0.28100,1.31973,0.62659,0.09181,-0.23543,0.24647
0.3160,init,0,-0.16491,0.27889,1.31885,0.62653,0.09184,-0.23544,0.24641
0.3262,init,0,-0.16491,0.27889,1.31885,0.62656,0.09182,-0.23543,0.24644
0.3364,init,0,-0.16491,0.27889,1.31885,0.62657,0.09183,-0.23545,0.24645
0.3467,init,0,-0.16491,0.27889,1.31885,0.62658,0.09181,-0.23543,0.24646
0.3569,init,0,-0.16491,0.27889,1.31885,0.62658,0.09179,-0.23541,0.24647
0.3672,init,0,-0.16491,0.27889,1.31885,0.62657,0.09182,-0.23544,0.24645
0.3774,init,0,-0.16491,0.27889,1.31885,0.62661,0.09182,-0.23545,0.24649
0.3876,init,0,-0.16739,0.28091,1.31855,0.62657,0.09183,-0.23544,0.24645
0.3977,init,0,-0.16739,0.28091,1.31855,0.62656,0.09178,-0.23540,0.24645
0.4078,init,0,-0.16739,0.28091,1.31855,0.62655,0.09180,-0.23541,0.24644
0.4179,init,0,-0.16739,0.28091,1.31855,0.62655,0.09183,-0.23544,0.24643
0.4280,init,0,-0.16739,0.28091,1.31855,0.62655,0.09180,-0.23541,0.24644
0.4381,init,0,-0.16739,0.28091,1.31855,0.62658,0.09180,-0.23542,0.24647
0.4482,init,0,-0.16739,0.28091,1.31855,0.62656,0.09181,-0.23543,0.24645
0.4583,init,0,-0.16739,0.28091,1.31855,0.62656,0.09182,-0.23543,0.24644
0.4685,init,0,-0.16917,0.28138,1.32208,0.62658,0.09183,-0.23545,0.24646
0.4787,init,0,-0.16917,0.28138,1.32208,0.62658,0.09181,-0.23542,0.24646
0.4889,init,0,-0.16917,0.28138,1.32208,0.62655,0.09184,-0.23545,0.24643
0.4992,init,0,-0.16917,0.28138,1.32208,0.62653,0.09182,-0.23543,0.24641
0.5094,init,0,-0.16917,0.28138,1.32208,0.62659,0.09178,-0.23540,0.24649
0.5197,init,0,-0.16917,0.28138,1.32208,0.62655,0.09180,-0.23541,0.24644
0.5300,init,0,-0.16966,0.28396,1.31328,0.62655,0.09181,-0.23542,0.24644
0.5402,init,0,-0.16966,0.28396,1.31328,0.62659,0.09182,-0.23544,0.24648
0.5505,init,0,-0.16966,0.28396,1.31328,0.62658,0.09177,-0.23539,0.24647
0.5608,init,0,-0.16966,0.28396,1.31328,0.62656,0.09181,-0.23543,0.24644
0.5710,init,0,-0.16966,0.28396,1.31328,0.62656,0.09181,-0.23542,0.24644
0.5813,init,0,-0.16966,0.28396,1.31328,0.62658,0.09181,-0.23543,0.24646
0.5914,init,0,-0.16719,0.28242,1.30859,0.62656,0.09182,-0.23543,0.24644
0.6016,init,0,-0.16719,0.28242,1.30859,0.62653,0.09183,-0.23544,0.24641
0.6117,init,0,-0.16719,0.28242,1.30859,0.62655,0.09181,-0.23542,0.24644
0.6219,init,0,-0.16719,0.28242,1.30859,0.62655,0.09180,-0.23541,0.24644
0.6321,init,0,-0.16719,0.28242,1.30859,0.62658,0.09179,-0.23541,0.24647
0.6424,init,0,-0.16719,0.28242,1.30859,0.62659,0.09177,-0.23539,0.24648
0.6526,init,0,-0.16719,0.28242,1.30859,0.62659,0.09179,-0.23542,0.24648
0.6627,init,0,-0.16629,0.27906,1.31267,0.62655,0.09184,-0.23545,0.24643
0.6730,init,0,-0.16629,0.27906,1.31267,0.62653,0.09181,-0.23542,0.24641
0.6833,init,0,-0.16629,0.27906,1.31267,0.62656,0.09181,-0.23543,0.24645
0.6935,init,0,-0.16629,0.27906,1.31267,0.62653,0.09181,-0.23542,0.24642
0.7038,init,0,-0.16629,0.27906,1.31267,0.62661,0.09180,-0.23542,0.24649
0.7141,init,0,-0.16629,0.27906,1.31267,0.62656,0.09183,-0.23544,0.24644
0.7243,init,0,-0.16741,0.27963,1.31741,0.62657,0.09182,-0.23543,0.24645
0.7346,init,0,-0.16741,0.27963,1.31741,0.62655,0.09183,-0.23544,0.24642
0.7448,init,0,-0.16741,0.27963,1.31741,0.62656,0.09182,-0.23543,0.24644
0.7551,init,0,-0.16741,0.27963,1.31741,0.62657,0.09179,-0.23541,0.24646
0.7653,init,0,-0.16741,0.27963,1.31741,0.62656,0.09179,-0.23541,0.24645
0.7756,init,0,-0.16741,0.27963,1.31741,0.62655,0.09183,-0.23544,0.24643
0.7858,init,0,-0.16741,0.27963,1.31741,0.62659,0.09182,-0.23544,0.24647
0.7961,init,0,-0.16880,0.28254,1.31421,0.62652,0.09182,-0.23542,0.24641
