t,etape,en_mouvement,attach_x,attach_y,yaw_ref,tcp_base_x,tcp_base_y,tcp_helper_x,tcp_helper_y
0.0005,init,0,-0.14784,0.23882,1.81071,0.58500,0.08101,-0.21364,0.20944
0.0108,init,0,-0.14784,0.23882,1.81071,0.58499,0.08101,-0.21364,0.20943
0.0210,init,0,-0.14784,0.23882,1.81071,0.58500,0.08102,-0.21365,0.20944
0.0311,init,0,-0.14784,0.23882,1.81071,0.58502,0.08103,-0.21366,0.20946
0.0414,init,0,-0.14656,0.23568,1.80939,0.58502,0.08101,-0.21365,0.20946
0.0517,init,0,-0.14656,0.23568,1.80939,0.58503,0.08102,-0.21366,0.20947
0.0620,init,0,-0.14656,0.23568,1.80939,0.58504,0.08099,-0.21363,0.20948
0.0723,init,0,-0.14656,0.23568,1.80939,0.58502,0.08100,-0.21363,0.20946
0.0825,init,0,-0.14656,0.23568,1.80939,0.58500,0.08100,-0.21364,0.20945
0.0927,init,0,-0.14656,0.23568,1.80939,0.58503,0.08101,-0.21365,0.20947
0.1029,init,0,-0.14871,0.23723,1.80493,0.58503,0.08098,-0.21362,0.20948
0.1130,init,0,-0.14871,0.23723,1.80493,0.58497,0.08103,-0.21366,0.20941
0.1232,init,0,-0.14871,0.23723,1.80493,0.58504,0.08100,-0.21364,0.20948
0.1333,init,0,-0.14871,0.23723,1.80493,0.58501,0.08101,-0.21364,0.20945
0.1435,init,0,-0.14871,0.23723,1.80493,0.58500,0.08101,-0.21364,0.20944
0.1537,init,0,-0.14871,0.23723,1.80493,0.58501,0.08099,-0.21363,0.20945
0.1639,init,0,-0.14871,0.23723,1.80493,0.58500,0.08100,-0.21363,0.20944
0.1741,init,0,-0.14370,0.22997,1.80684,0.58506,0.08101,-0.21365,0.20949
0.1843,init,0,-0.14370,0.22997,1.80684,0.58502,0.08102,-0.21366,0.20945
0.1946,init,0,-0.14370,0.22997,1.80684,0.58500,0.08103,-0.21366,0.20944
0.2048,init,0,-0.14370,0.22997,1.80684,0.58500,0.08101,-0.21364,0.20944
0.2151,init,0,-0.14370,0.22997,1.80684,0.58503,0.08101,-0.21365,0.20947
0.2253,init,0,-0.14370,0.22997,1.80684,0.58502,0.08100,-0.21364,0.20946
0.2355,init,0,-0.14516,0.23230,1.80261,0.58502,0.08100,-0.21364,0.20946
0.2457,init,0,-0.14516,0.23230,1.80261,0.58501,0.08102,-0.21365,0.20945
0.2560,init,0,-0.14516,0.23230,1.80261,0.58500,0.08102,-0.21365,0.20944
0.2663,init,0,-0.14516,0.23230,1.80261,0.58503,0.08100,-0.21364,0.20947
0.2766,init,0,-0.14516,0.23230,1.80261,0.58500,0.08103,-0.21366,0.20943
0.2869,init,0,-0.14516,0.23230,1.80261,0.58500,0.08100,-0.21363,0.20944
0.2971,init,0,-0.14516,0.23230,1.80261,0.58499,0.08101,-0.21364,0.20943
0.3073,init,0,-0.14396,0.22957,1.80718,0.58501,0.08101,-0.21364,0.20945
0.3175,init,0,-0.14396,0.22957,1.80718,0.58501,0.08101,-0.21364,0.20945
0.3277,init,0,-0.14396,0.22957,1.80718,0.58501,0.08099,-0.21363,0.20946
0.3380,init,0,-0.14396,0.22957,1.80718,0.58502,0.08102,-0.21365,0.20946
0.3482,init,0,-0.14396,0.22957,1.80718,0.58505,0.08101,-0.21365,0.20949
0.3585,init,0,-0.14396,0.22957,1.80718,0.58503,0.08103,-0.21367,0.20946
0.3687,init,0,-0.16003,0.24986,1.80518,0.58501,0.08101,-0.21364,0.20945
0.3789,init,0,-0.16003,0.24986,1.80518,0.58500,0.08099,-0.21362,0.20944
