t,etape,en_mouvement,attach_x,attach_y,yaw_ref,tcp_base_x,tcp_base_y,tcp_helper_x,tcp_helper_y
0.0006,init,0,-0.14683,0.26356,1.44466,0.61576,0.07306,-0.21444,0.24120
0.0110,init,0,-0.14683,0.26356,1.44466,0.61577,0.07305,-0.21442,0.24121
0.0212,init,0,-0.14913,0.26598,1.43986,0.61577,0.07304,-0.21441,0.24121
0.0315,init,0,-0.14913,0.26598,1.43986,0.61576,0.07306,-0.21443,0.24120
0.0418,init,0,-0.14913,0.26598,1.43986,0.61576,0.07304,-0.21441,0.24120
0.0521,init,0,-0.14913,0.26598,1.43986,0.61576,0.07303,-0.21440,0.24121
0.0624,init,0,-0.14913,0.26598,1.43986,0.61575,0.07306,-0.21443,0.24119
0.0725,init,0,-0.14971,0.26811,1.43675,0.61581,0.07302,-0.21441,0.24126
0.0826,init,0,-0.14971,0.26811,1.43675,0.61579,0.07305,-0.21443,0.24123
0.0928,init,0,-0.14971,0.26811,1.43675,0.61578,0.07303,-0.21441,0.24123
0.1029,init,0,-0.14971,0.26811,1.43675,0.61579,0.07307,-0.21445,0.24123
0.1131,init,0,-0.14971,0.26811,1.43675,0.61574,0.07306,-0.21442,0.24118
0.1234,init,0,-0.14971,0.26811,1.43675,0.61579,0.07305,-0.21443,0.24124
0.1336,init,0,-0.14971,0.26811,1.43675,0.61578,0.07304,-0.21442,0.24123
0.1439,init,0,-0.14646,0.26358,1.44098,0.61573,0.07307,-0.21444,0.24117
0.1540,init,0,-0.14646,0.26358,1.44098,0.61576,0.07305,-0.21443,0.24121
0.1643,init,0,-0.14646,0.26358,1.44098,0.61579,0.07303,-0.21441,0.24123
0.1745,init,0,-0.14646,0.26358,1.44098,0.61579,0.07302,-0.21440,0.24124
0.1847,init,0,-0.14646,0.26358,1.44098,0.61577,0.07307,-0.21444,0.24121
0.1952,init,0,-0.14646,0.26358,1.44098,0.61576,0.07306,-0.21443,0.24120
0.2054,init,0,-0.14510,0.26321,1.43425,0.61575,0.07305,-0.21442,0.24119
0.2156,init,0,-0.14510,0.26321,1.43425,0.61576,0.07305,-0.21442,0.24120
0.2259,init,0,-0.14510,0.26321,1.43425,0.61576,0.07307,-0.21444,0.24120
0.2362,init,0,-0.14510,0.26321,1.43425,0.61578,0.07301,-0.21439,0.24123
0.2464,init,0,-0.14510,0.26321,1.43425,0.61578,0.07303,-0.21441,0.24122
0.2567,init,0,-0.14510,0.26321,1.43425,0.61575,0.07305,-0.21442,0.24119
