t,phase,th_x,th_y,thd_x,thd_y,vcmd_x,vcmd_y,tcp_x,tcp_y,th_brut_x,th_brut_y
0.0000,0,0.00015,0.00009,0.00000,0.00000,0.00001,0.00000,0.06829,1.03047,0.00015,0.00009
0.0020,0,0.00015,0.00009,-0.00001,-0.00000,0.00004,0.00000,0.06830,1.03048,0.00015,0.00009
0.0040,0,0.00015,0.00009,-0.00005,-0.00000,0.00012,0.00000,0.06826,1.03048,0.00015,0.00009
0.0060,0,0.00015,0.00009,-0.00011,-0.00001,0.00022,0.00000,0.06831,1.03050,0.00015,0.00009
0.0080,0,0.00015,0.00009,-0.00021,-0.00001,0.00035,0.00000,0.06828,1.03047,0.00015,0.00009
0.0100,0,0.00015,0.00009,-0.00034,-0.00001,0.00052,0.00000,0.06828,1.03048,0.00015,0.00009
0.0120,0,0.00014,0.00009,-0.00050,-0.00001,0.00072,0.00000,0.06829,1.03048,0.00015,0.00009
0.0140,0,0.00014,0.00009,-0.00068,-0.00001,0.00095,0.00000,0.06831,1.03048,0.00015,0.00009
0.0160,0,0.00014,0.00009,-0.00090,-0.00001,0.00121,0.00000,0.06833,1.03047,0.00015,0.00009
0.0181,0,0.00010,0.00010,-0.00089,-0.00002,0.00150,0.00000,0.06828,1.03048,0.00006,0.00011
0.0201,0,0.00010,0.00010,-0.00117,-0.00002,0.00183,0.00000,0.06831,1.03048,0.00006,0.00011
0.0221,0,0.00009,0.00010,-0.00147,-0.00002,0.00219,0.00000,0.06833,1.03050,0.00006,0.00011
0.0241,0,0.00009,0.00010,-0.00181,-0.00002,0.00258,0.00000,0.06832,1.03042,0.00006,0.00011
0.0261,0,0.00009,0.00010,-0.00217,-0.00002,0.00300,0.00000,0.06831,1.03050,0.00006,0.00011
0.0281,0,0.00008,0.00010,-0.00256,-0.00003,0.00346,0.00000,0.06832,1.03048,0.00006,0.00011
0.0301,0,0.00008,0.00010,-0.00298,-0.00003,0.00394,0.00000,0.06830,1.03050,0.00006,0.00011
0.0321,0,0.00007,0.00010,-0.00343,-0.00003,0.00446,0.00000,0.06835,1.03048,0.00006,0.00011
0.0341,0,0.00006,0.00010,-0.00392,-0.00003,0.00501,0.00000,0.06831,1.03049,0.00006,0.00011
0.0361,0,0.00005,0.00010,-0.00443,-0.00003,0.00553,0.00000,0.06837,1.03050,0.00006,0.00011
0.0381,0,0.00004,0.00010,-0.00491,-0.00003,0.00602,0.00000,0.06835,1.03048,0.00006,0.00011
0.0401,0,0.00003,0.00010,-0.00536,-0.00004,0.00647,0.00000,0.06839,1.03048,0.00006,0.00011
0.0421,0,0.00002,0.00010,-0.00578,-0.00004,0.00689,0.00000,0.06841,1.03048,0.00006,0.00011
0.0441,0,0.00001,0.00010,-0.00617,-0.00004,0.00728,0.00000,0.06837,1.03050,0.00006,0.00011
0.0461,0,-0.00000,0.00010,-0.00653,-0.00004,0.00764,0.00000,0.06838,1.03045,0.00006,0.00011
