t,ex,ey,th_x,th_y,thd_x,thd_y,yaw,vref_x,vref_y,vfb_x,vfb_y,vcmd_x,vcmd_y,tcp_x,tcp_y,dans_cible,th_brut_x,th_brut_y
0.0001,-0.40498,-0.00221,-0.01648,0.00232,0.00000,0.00000,2.25415,-0.00000,-0.00000,-0.07790,0.01097,-0.00013,0.00013,0.10477,0.82312,0,-0.01648,0.00232
0.0020,-0.40498,-0.00221,-0.01648,0.00232,0.00039,-0.00015,2.25415,-0.00014,-0.00000,-0.07789,0.01097,-0.00038,0.00038,0.10475,0.82312,0,-0.01648,0.00232
0.0041,-0.40498,-0.00221,-0.01648,0.00232,0.00088,-0.00041,2.25415,-0.00028,-0.00000,-0.07789,0.01097,-0.00077,0.00077,0.10470,0.82312,0,-0.01648,0.00232
0.0061,-0.40498,-0.00221,-0.01647,0.00232,0.00149,-0.00077,2.25415,-0.00042,-0.00000,-0.07788,0.01096,-0.00128,0.00128,0.10466,0.82313,0,-0.01648,0.00232
0.0081,-0.40498,-0.00221,-0.01647,0.00232,0.00220,-0.00125,2.25415,-0.00056,-0.00000,-0.07786,0.01095,-0.00192,0.00192,0.10474,0.82315,0,-0.01648,0.00232
0.0101,-0.40498,-0.00221,-0.01646,0.00231,0.00302,-0.00184,2.25415,-0.00070,-0.00000,-0.07783,0.01094,-0.00269,0.00269,0.10473,0.82314,0,-0.01648,0.00232
0.0121,-0.40498,-0.00221,-0.01646,0.00231,0.00395,-0.00253,2.25415,-0.00083,-0.00000,-0.07780,0.01092,-0.00358,0.00358,0.10474,0.82311,0,-0.01648,0.00232
0.0141,-0.40498,-0.00221,-0.01645,0.00230,0.00500,-0.00333,2.25415,-0.00097,-0.00001,-0.07776,0.01089,-0.00461,0.00461,0.10467,0.82315,0,-0.01648,0.00232
0.0161,-0.40498,-0.00221,-0.01644,0.00230,0.00615,-0.00425,2.25415,-0.00111,-0.00001,-0.07771,0.01085,-0.00576,0.00576,0.10469,0.82313,0,-0.01648,0.00232
0.0181,-0.40498,-0.00221,-0.01642,0.00229,0.00741,-0.00527,2.25415,-0.00125,-0.00001,-0.07765,0.01081,-0.00704,0.00704,0.10468,0.82316,0,-0.01648,0.00232
0.0201,-0.40498,-0.00221,-0.01641,0.00227,0.00878,-0.00640,2.25415,-0.00139,-0.00001,-0.07757,0.01075,-0.00845,0.00845,0.10467,0.82318,0,-0.01648,0.00232
0.0221,-0.40498,-0.00221,-0.01639,0.00226,0.01025,-0.00764,2.25415,-0.00153,-0.00001,-0.07748,0.01069,-0.00998,0.00998,0.10465,0.82321,0,-0.01648,0.00232
0.0241,-0.40498,-0.00221,-0.01637,0.00224,0.01184,-0.00900,2.25415,-0.00166,-0.00001,-0.07738,0.01061,-0.01158,0.01139,0.10466,0.82323,0,-0.01648,0.00232
0.0261,-0.40498,-0.00221,-0.01634,0.00222,0.01348,-0.01024,2.25415,-0.00180,-0.00001,-0.07726,0.01052,-0.01318,0.01267,0.10457,0.82327,0,-0.01648,0.00232
0.0281,-0.40498,-0.00221,-0.01631,0.00220,0.01512,-0.01137,2.25415,-0.00194,-0.00001,-0.07712,0.01042,-0.01478,0.01382,0.10459,0.82329,0,-0.01648,0.00232
0.0301,-0.40498,-0.00221,-0.01628,0.00218,0.01676,-0.01239,2.25415,-0.00208,-0.00001,-0.07697,0.01030,-0.01638,0.01485,0.10456,0.82328,0,-0.01648,0.00232
0.0321,-0.40498,-0.00221,-0.01624,0.00215,0.01840,-0.01330,2.25415,-0.00222,-0.00001,-0.07681,0.01018,-0.01798,0.01574,0.10456,0.82331,0,-0.01648,0.00232
0.0341,-0.40498,-0.00221,-0.01621,0.00213,0.02004,-0.01410,2.25415,-0.00236,-0.00001,-0.07663,0.01005,-0.01958,0.01651,0.10453,0.82332,0,-0.01648,0.00232
