t,ex,ey,th_x,th_y,thd_x,thd_y,yaw,vref_x,vref_y,vfb_x,vfb_y,vcmd_x,vcmd_y,tcp_x,tcp_y,dans_cible
0.0000,-0.45777,0.01560,0.00925,0.00675,0.00000,0.00000,0.76779,-0.00000,0.00000,0.04375,0.03192,0.00051,0.00051,0.10662,0.79623,0
0.0020,-0.45777,0.01560,0.00925,0.00675,-0.00106,-0.00089,0.76779,-0.00014,0.00000,0.04373,0.03190,0.00154,0.00154,0.10663,0.79620,0
0.0040,-0.45777,0.01560,0.00924,0.00674,-0.00255,-0.00222,0.76779,-0.00028,0.00001,0.04366,0.03185,0.00307,0.00307,0.10660,0.79624,0
0.0060,-0.45777,0.01560,0.00921,0.00671,-0.00448,-0.00398,0.76779,-0.00042,0.00001,0.04353,0.03173,0.00512,0.00512,0.10657,0.79624,0
0.0080,-0.45777,0.01560,0.00916,0.00667,-0.00685,-0.00618,0.76779,-0.00055,0.00002,0.04331,0.03154,0.00768,0.00768,0.10659,0.79623,0
0.0100,-0.45777,0.01560,0.00910,0.00661,-0.00965,-0.00881,0.76779,-0.00069,0.00002,0.04300,0.03125,0.01075,0.01075,0.10665,0.79625,0
0.0120,-0.45777,0.01560,0.00901,0.00653,-0.01288,-0.01188,0.76779,-0.00083,0.00003,0.04257,0.03086,0.01434,0.01434,0.10665,0.79624,0
0.0140,-0.45777,0.01560,0.00889,0.00642,-0.01654,-0.01537,0.76779,-0.00097,0.00003,0.04202,0.03035,0.01843,0.01843,0.10662,0.79626,0
0.0160,-0.45777,0.01560,0.00874,0.00628,-0.02063,-0.01930,0.76779,-0.00111,0.00004,0.04131,0.02969,0.02304,0.02304,0.10664,0.79625,0
0.0180,-0.45777,0.01560,0.00856,0.00611,-0.02515,-0.02365,0.76779,-0.00125,0.00004,0.04044,0.02888,0.02816,0.02816,0.10660,0.79626,0
0.0201,-0.45777,0.01560,0.00834,0.00590,-0.03009,-0.02843,0.76779,-0.00139,0.00005,0.03939,0.02789,0.03379,0.03277,0.10663,0.79627,0
0.0221,-0.45777,0.01560,0.00807,0.00566,-0.03545,-0.03275,0.76779,-0.00152,0.00005,0.03815,0.02674,0.03891,0.03686,0.10671,0.79625,0
0.0241,-0.45777,0.01560,0.00777,0.00538,-0.04036,-0.03662,0.76779,-0.00166,0.00006,0.03672,0.02542,0.04352,0.04045,0.10670,0.79629,0
0.0261,-0.45777,0.01560,0.00743,0.00507,-0.04480,-0.04003,0.76779,-0.00180,0.00006,0.03510,0.02398,0.04762,0.04352,0.10672,0.79631,0
0.0281,-0.45777,0.01560,0.00706,0.00474,-0.04878,-0.04298,0.76779,-0.00194,0.00007,0.03333,0.02241,0.05120,0.04608,0.10670,0.79636,0
0.0301,-0.45777,0.01560,0.00665,0.00439,-0.05230,-0.04547,0.76779,-0.00208,0.00007,0.03141,0.02073,0.05427,0.04813,0.10673,0.79634,0
0.0321,-0.45777,0.01560,0.00622,0.00401,-0.05535,-0.04750,0.76779,-0.00221,0.00008,0.02937,0.01898,0.05683,0.04966,0.10680,0.79640,0
