t,ex,ey,th_x,th_y,thd_x,thd_y,yaw,vref_x,vref_y,vfb_x,vfb_y,vcmd_x,vcmd_y,tcp_x,tcp_y,dans_cible,th_brut_x,th_brut_y
0.0000,-0.51305,-0.11694,-0.00648,0.00690,0.00000,0.00000,1.93875,-0.00000,-0.00000,-0.00649,0.00691,-0.00013,0.00013,0.05480,0.88777,0,-0.00648,0.00690
0.0020,-0.51305,-0.11694,-0.00648,0.00690,0.00022,-0.00023,1.93875,-0.00014,-0.00003,-0.00649,0.00691,-0.00038,0.00038,0.05483,0.88781,0,-0.00648,0.00690
0.0040,-0.51305,-0.11694,-0.00648,0.00690,0.00055,-0.00056,1.93875,-0.00027,-0.00006,-0.00649,0.00690,-0.00077,0.00077,0.05480,0.88780,0,-0.00648,0.00690
0.0060,-0.51305,-0.11694,-0.00648,0.00690,0.00098,-0.00100,1.93875,-0.00041,-0.00009,-0.00649,0.00690,-0.00128,0.00128,0.05480,0.88779,0,-0.00648,0.00690
0.0080,-0.51305,-0.11694,-0.00648,0.00689,0.00153,-0.00156,1.93875,-0.00054,-0.00012,-0.00649,0.00690,-0.00192,0.00192,0.05482,0.88776,0,-0.00648,0.00690
0.0100,-0.51305,-0.11694,-0.00648,0.00689,0.00218,-0.00222,1.93875,-0.00068,-0.00015,-0.00648,0.00690,-0.00269,0.00269,0.05484,0.88776,0,-0.00648,0.00690
0.0121,-0.51305,-0.11694,-0.00647,0.00689,0.00295,-0.00299,1.93875,-0.00081,-0.00019,-0.00648,0.00689,-0.00358,0.00358,0.05481,0.88778,0,-0.00648,0.00690
0.0141,-0.51305,-0.11694,-0.00646,0.00688,0.00382,-0.00387,1.93875,-0.00095,-0.00022,-0.00647,0.00688,-0.00461,0.00461,0.05479,0.88780,0,-0.00648,0.00690
0.0161,-0.51305,-0.11694,-0.00645,0.00687,0.00481,-0.00486,1.93875,-0.00108,-0.00025,-0.00646,0.00688,-0.00576,0.00576,0.05479,0.88776,0,-0.00648,0.00690
0.0181,-0.51305,-0.11694,-0.00644,0.00686,0.00590,-0.00596,1.93875,-0.00122,-0.00028,-0.00645,0.00686,-0.00704,0.00678,0.05477,0.88779,0,-0.00648,0.00690
0.0201,-0.51305,-0.11694,-0.00643,0.00685,0.00710,-0.00695,1.93875,-0.00135,-0.00031,-0.00644,0.00685,-0.00819,0.00768,0.05475,0.88781,0,-0.00648,0.00690
0.0221,-0.51305,-0.11694,-0.00642,0.00683,0.00819,-0.00783,1.93875,-0.00149,-0.00034,-0.00643,0.00684,-0.00922,0.00845,0.05475,0.88784,0,-0.00648,0.00690
0.0241,-0.51305,-0.11694,-0.00640,0.00681,0.00918,-0.00860,1.93875,-0.00162,-0.00037,-0.00641,0.00682,-0.01011,0.00909,0.05474,0.88783,0,-0.00648,0.00690
0.0261,-0.51305,-0.11694,-0.00638,0.00680,0.01005,-0.00926,1.93875,-0.00176,-0.00040,-0.00639,0.00680,-0.01088,0.00960,0.05471,0.88784,0,-0.00648,0.00690
0.0281,-0.51305,-0.11694,-0.00636,0.00678,0.01081,-0.00982,1.93875,-0.00189,-0.00043,-0.00637,0.00678,-0.01152,0.00998,0.05468,0.88787,0,-0.00648,0.00690
0.0301,-0.51305,-0.11694,-0.00634,0.00676,0.01146,-0.01026,1.93875,-0.00203,-0.00046,-0.00635,0.00676,-0.01203,0.01024,0.05467,0.88790,0,-0.00648,0.00690
0.0321,-0.51305,-0.11694,-0.00631,0.00674,0.01201,-0.01059,1.93875,-0.00216,-0.00049,-0.00633,0.00674,-0.01242,0.01037,0.05454,0.88789,0,-0.00648,0.00690
0.0341,-0.51305,-0.11694,-0.00629,0.00672,0.01244,-0.01081,1.93875,-0.00230,-0.00052,-0.00631,0.00672,-0.01267,0.01037,0.05455,0.88794,0,-0.00648,0.00690
0.0361,-0.51305,-0.11694,-0.00626,0.00669,0.01277,-0.01092,1.93875,-0.00243,-0.00055,-0.00628,0.00670,-0.01280,0.01024,0.05451,0.88795,0,-0.00648,0.00690
0.0381,-0.51305,-0.11694,-0.00624,0.00667,0.01298,-0.01092,1.93875,-0.00257,-0.00059,-0.00626,0.00667,-0.01280,0.00998,0.05446,0.88797,0,-0.00648,0.00690
0.0401,-0.51305,-0.11694,-0.00621,0.00665,0.01308,-0.01082,1.93875,-0.00270,-0.00062,-0.00623,0.00665,-0.01267,0.00960,0.05450,0.88799,0,-0.00648,0.00690
