t,ex,ey,th_x,th_y,thd_x,thd_y,yaw,vref_x,vref_y,vfb_x,vfb_y,vcmd_x,vcmd_y,tcp_x,tcp_y,dans_cible,th_brut_x,th_brut_y
0.0000,-0.37917,0.00180,-0.01125,0.00474,0.00000,0.00000,0.28139,-0.00000,0.00000,0.00000,0.00000,-0.00000,0.00000,0.04440,0.82550,0,-0.01125,0.00474
0.0020,-0.37917,0.00180,-0.01125,0.00474,0.00019,-0.00008,0.28139,-0.00014,0.00000,0.00000,0.00000,-0.00004,0.00000,0.04437,0.82549,0,-0.01125,0.00474
0.0040,-0.37917,0.00180,-0.01124,0.00474,0.00041,-0.00016,0.28139,-0.00028,0.00000,0.00000,0.00000,-0.00010,0.00000,0.04444,0.82551,0,-0.01125,0.00474
0.0060,-0.37917,0.00180,-0.01124,0.00474,0.00065,-0.00024,0.28139,-0.00042,0.00000,0.00000,0.00000,-0.00020,0.00000,0.04442,0.82548,0,-0.01125,0.00474
0.0080,-0.37917,0.00180,-0.01124,0.00474,0.00092,-0.00032,0.28139,-0.00055,0.00000,0.00000,0.00000,-0.00033,0.00000,0.04443,0.82550,0,-0.01125,0.00474
0.0100,-0.37917,0.00180,-0.01124,0.00474,0.00122,-0.00040,0.28139,-0.00069,0.00000,0.00000,0.00000,-0.00049,0.00000,0.04442,0.82548,0,-0.01125,0.00474
0.0120,-0.37917,0.00180,-0.01124,0.00474,0.00155,-0.00048,0.28139,-0.00083,0.00000,0.00000,0.00000,-0.00068,0.00000,0.04442,0.82551,0,-0.01125,0.00474
0.0140,-0.37917,0.00180,-0.01123,0.00474,0.00190,-0.00056,0.28139,-0.00097,0.00000,0.00000,0.00000,-0.00091,0.00000,0.04443,0.82549,0,-0.01125,0.00474
0.0160,-0.37917,0.00180,-0.01123,0.00474,0.00228,-0.00064,0.28139,-0.00111,0.00001,0.00000,0.00000,-0.00111,0.00001,0.04442,0.82549,0,-0.01125,0.00474
0.0180,-0.37917,0.00180,-0.01122,0.00474,0.00264,-0.00072,0.28139,-0.00125,0.00001,0.00000,0.00000,-0.00127,0.00001,0.04446,0.82548,0,-0.01125,0.00474
0.0200,-0.37917,0.00180,-0.01122,0.00474,0.00297,-0.00080,0.28139,-0.00138,0.00001,0.00000,0.00000,-0.00141,0.00001,0.04443,0.82552,0,-0.01125,0.00474
0.0220,-0.37917,0.00180,-0.01121,0.00473,0.00328,-0.00088,0.28139,-0.00152,0.00001,0.00000,0.00000,-0.00152,0.00001,0.04443,0.82548,0,-0.01125,0.00474
0.0240,-0.37917,0.00180,-0.01121,0.00473,0.00356,-0.00096,0.28139,-0.00166,0.00001,0.00000,0.00000,-0.00166,0.00001,0.04440,0.82550,0,-0.01125,0.00474
0.0260,-0.37917,0.00180,-0.01120,0.00473,0.00387,-0.00104,0.28139,-0.00180,0.00001,0.00000,0.00000,-0.00180,0.00001,0.04441,0.82553,0,-0.01125,0.00474
