t,ex,ey,th_x,th_y,thd_x,thd_y,yaw,vref_x,vref_y,vfb_x,vfb_y,vcmd_x,vcmd_y,tcp_x,tcp_y,dans_cible,th_brut_x,th_brut_y
0.0000,-0.46538,-0.02376,-0.02284,0.00699,0.00000,0.00000,-2.69585,-0.00000,-0.00000,-0.02286,0.00700,-0.00013,0.00013,0.04131,0.78477,0,-0.02284,0.00699
0.0020,-0.46538,-0.02376,-0.02284,0.00699,0.00049,-0.00023,-2.69585,-0.00014,-0.00001,-0.02286,0.00700,-0.00038,0.00038,0.04131,0.78477,0,-0.02284,0.00699
0.0040,-0.46538,-0.02376,-0.02284,0.00699,0.00109,-0.00056,-2.69585,-0.00028,-0.00001,-0.02286,0.00700,-0.00077,0.00077,0.04133,0.78473,0,-0.02284,0.00699
0.0060,-0.46538,-0.02376,-0.02283,0.00699,0.00181,-0.00101,-2.69585,-0.00042,-0.00002,-0.02286,0.00700,-0.00128,0.00128,0.04129,0.78473,0,-0.02284,0.00699
0.0080,-0.46538,-0.02376,-0.02283,0.00699,0.00263,-0.00156,-2.69585,-0.00055,-0.00003,-0.02285,0.00699,-0.00192,0.00192,0.04124,0.78473,0,-0.02284,0.00699
0.0100,-0.46538,-0.02376,-0.02282,0.00698,0.00356,-0.00223,-2.69585,-0.00069,-0.00004,-0.02285,0.00699,-0.00269,0.00269,0.04128,0.78476,0,-0.02284,0.00699
0.0120,-0.46538,-0.02376,-0.02282,0.00698,0.00459,-0.00300,-2.69585,-0.00083,-0.00004,-0.02284,0.00698,-0.00358,0.00358,0.04128,0.78477,0,-0.02284,0.00699
0.0140,-0.46538,-0.02376,-0.02281,0.00697,0.00574,-0.00388,-2.69585,-0.00097,-0.00005,-0.02283,0.00698,-0.00461,0.00461,0.04132,0.78477,0,-0.02284,0.00699
0.0160,-0.46538,-0.02376,-0.02279,0.00696,0.00700,-0.00487,-2.69585,-0.00111,-0.00006,-0.02282,0.00697,-0.00576,0.00576,0.04124,0.78476,0,-0.02284,0.00699
0.0180,-0.46538,-0.02376,-0.02278,0.00695,0.00837,-0.00598,-2.69585,-0.00125,-0.00006,-0.02280,0.00696,-0.00704,0.00689,0.04127,0.78482,0,-0.02284,0.00699
0.0200,-0.46538,-0.02376,-0.02276,0.00694,0.00984,-0.00706,-2.69585,-0.00138,-0.00007,-0.02278,0.00694,-0.00845,0.00790,0.04122,0.78478,0,-0.02284,0.00699
