t,ex,ey,th_x,th_y,thd_x,thd_y,yaw,vref_x,vref_y,vfb_x,vfb_y,vcmd_x,vcmd_y,tcp_x,tcp_y,dans_cible,th_brut_x,th_brut_y
0.0000,-0.41768,-0.01070,-0.01092,-0.00363,0.00000,0.00000,-2.73739,-0.00000,-0.00000,-0.01093,-0.00363,-0.00013,-0.00013,-0.01559,0.78376,0,-0.01092,-0.00363
0.0020,-0.41125,-0.01064,-0.01358,-0.00352,0.00023,0.00006,-2.72414,-0.00014,-0.00000,-0.01166,-0.00350,-0.00038,-0.00038,-0.01563,0.78373,0,-0.01623,-0.00340
0.0041,-0.41125,-0.01064,-0.01358,-0.00352,0.00067,0.00034,-2.72414,-0.00028,-0.00001,-0.01166,-0.00350,-0.00077,-0.00077,-0.01557,0.78375,0,-0.01623,-0.00340
0.0061,-0.41125,-0.01064,-0.01357,-0.00351,0.00123,0.00072,-2.72414,-0.00042,-0.00001,-0.01166,-0.00350,-0.00128,-0.00128,-0.01559,0.78374,0,-0.01623,-0.00340
0.0081,-0.41125,-0.01064,-0.01357,-0.00351,0.00190,0.00122,-2.72414,-0.00056,-0.00001,-0.01166,-0.00350,-0.00192,-0.00192,-0.01563,0.78372,0,-0.01623,-0.00340
0.0101,-0.41125,-0.01064,-0.01357,-0.00351,0.00267,0.00183,-2.72414,-0.00069,-0.00002,-0.01165,-0.00350,-0.00269,-0.00269,-0.01560,0.78373,0,-0.01623,-0.00340
0.0121,-0.41125,-0.01064,-0.01356,-0.00350,0.00355,0.00254,-2.72414,-0.00083,-0.00002,-0.01165,-0.00349,-0.00358,-0.00351,-0.01562,0.78371,0,-0.01623,-0.00340
0.0141,-0.41125,-0.01064,-0.01355,-0.00350,0.00455,0.00331,-2.72414,-0.00097,-0.00002,-0.01164,-0.00349,-0.00461,-0.00421,-0.01563,0.78375,0,-0.01623,-0.00340
0.0161,-0.41125,-0.01064,-0.01354,-0.00349,0.00565,0.00396,-2.72414,-0.00111,-0.00003,-0.01163,-0.00348,-0.00576,-0.00478,-0.01566,0.78370,0,-0.01623,-0.00340
0.0181,-0.41125,-0.01064,-0.01353,-0.00348,0.00686,0.00450,-2.72414,-0.00125,-0.00003,-0.01162,-0.00347,-0.00704,-0.00522,-0.01565,0.78372,0,-0.01623,-0.00340
0.0201,-0.41125,-0.01064,-0.01351,-0.00347,0.00818,0.00494,-2.72414,-0.00139,-0.00004,-0.01160,-0.00346,-0.00845,-0.00553,-0.01564,0.78372,0,-0.01623,-0.00340
0.0221,-0.41125,-0.01064,-0.01350,-0.00346,0.00961,0.00526,-2.72414,-0.00152,-0.00004,-0.01159,-0.00345,-0.00998,-0.00572,-0.01568,0.78367,0,-0.01623,-0.00340
0.0241,-0.41125,-0.01064,-0.01348,-0.00345,0.01115,0.00548,-2.72414,-0.00166,-0.00004,-0.01157,-0.00344,-0.01158,-0.00577,-0.01576,0.78367,0,-0.01623,-0.00340
0.0261,-0.41125,-0.01064,-0.01345,-0.00344,0.01274,0.00559,-2.72414,-0.00180,-0.00005,-0.01154,-0.00343,-0.01318,-0.00570,-0.01578,0.78366,0,-0.01623,-0.00340
0.0281,-0.41125,-0.01064,-0.01342,-0.00343,0.01433,0.00558,-2.72414,-0.00194,-0.00005,-0.01152,-0.00342,-0.01466,-0.00550,-0.01580,0.78364,0,-0.01623,-0.00340
0.0301,-0.41125,-0.01064,-0.01339,-0.00342,0.01582,0.00547,-2.72414,-0.00208,-0.00005,-0.01149,-0.00341,-0.01600,-0.00518,-0.01583,0.78363,0,-0.01623,-0.00340
0.0321,-0.41125,-0.01064,-0.01336,-0.00341,0.01719,0.00525,-2.72414,-0.00222,-0.00006,-0.01146,-0.00340,-0.01722,-0.00472,-0.01587,0.78362,0,-0.01623,-0.00340
0.0341,-0.41125,-0.01064,-0.01333,-0.00340,0.01845,0.00492,-2.72414,-0.00235,-0.00006,-0.01142,-0.00339,-0.01830,-0.00414,-0.01590,0.78363,0,-0.01623,-0.00340
0.0361,-0.41125,-0.01064,-0.01329,-0.00339,0.01960,0.00448,-2.72414,-0.00249,-0.00006,-0.01139,-0.00338,-0.01926,-0.00344,-0.01592,0.78362,0,-0.01623,-0.00340
0.0381,-0.41125,-0.01064,-0.01325,-0.00338,0.02065,0.00393,-2.72414,-0.00263,-0.00007,-0.01135,-0.00337,-0.02010,-0.00287,-0.01602,0.78362,0,-0.01623,-0.00340
0.0401,-0.41125,-0.01064,-0.01321,-0.00337,0.02158,0.00350,-2.72414,-0.00277,-0.00007,-0.01131,-0.00336,-0.02080,-0.00242,-0.01601,0.78362,0,-0.01623,-0.00340
0.0421,-0.41125,-0.01064,-0.01316,-0.00337,0.02240,0.00318,-2.72414,-0.00291,-0.00007,-0.01126,-0.00335,-0.02138,-0.00211,-0.01606,0.78364,0,-0.01623,-0.00340
0.0441,-0.41125,-0.01064,-0.01312,-0.00336,0.02311,0.00297,-2.72414,-0.00305,-0.00008,-0.01122,-0.00335,-0.02182,-0.00192,-0.01614,0.78363,0,-0.01623,-0.00340
0.0461,-0.41125,-0.01064,-0.01307,-0.00335,0.02372,0.00286,-2.72414,-0.00318,-0.00008,-0.01117,-0.00334,-0.02214,-0.00186,-0.01612,0.78361,0,-0.01623,-0.00340
0.0481,-0.41125,-0.01064,-0.01302,-0.00335,0.02421,0.00287,-2.72414,-0.00332,-0.00009,-0.01113,-0.00334,-0.02234,-0.00193,-0.01617,0.78363,0,-0.01623,-0.00340
0.0501,-0.41125,-0.01064,-0.01297,-0.00334,0.02459,0.00298,-2.72414,-0.00346,-0.00009,-0.01108,-0.00333,-0.02240,-0.00213,-0.01622,0.78362,0,-0.01623,-0.00340
0.0521,-0.41125,-0.01064,-0.01292,-0.00334,0.02486,0.00320,-2.72414,-0.00360,-0.00009,-0.01103,-0.00332,-0.02234,-0.00245,-0.01621,0.78361,0,-0.01623,-0.00340
0.0541,-0.41125,-0.01064,-0.01287,-0.00333,0.02502,0.00354,-2.72414,-0.00374,-0.00010,-0.01099,-0.00332,-0.02214,-0.00290,-0.01627,0.78362,0,-0.01623,-0.00340
0.0561,-0.41125,-0.01064,-0.01282,-0.00332,0.02507,0.00398,-2.72414,-0.00388,-0.00010,-0.01094,-0.00331,-0.02182,-0.00341,-0.01629,0.78361,0,-0.01623,-0.00340
0.0581,-0.41125,-0.01064,-0.01277,-0.00331,0.02501,0.00447,-2.72414,-0.00401,-0.00010,-0.01089,-0.00330,-0.02138,-0.00379,-0.01634,0.78361,0,-0.01623,-0.00340
0.0601,-0.41125,-0.01064,-0.01272,-0.00330,0.02484,0.00485,-2.72414,-0.00415,-0.00011,-0.01084,-0.00329,-0.02080,-0.00404,-0.01641,0.78358,0,-0.01623,-0.00340
0.0621,-0.41125,-0.01064,-0.01267,-0.00329,0.02456,0.00512,-2.72414,-0.00429,-0.00011,-0.01080,-0.00328,-0.02010,-0.00416,-0.01644,0.78359,0,-0.01623,-0.00340
0.0641,-0.41125,-0.01064,-0.01262,-0.00328,0.02417,0.00528,-2.72414,-0.00443,-0.00011,-0.01075,-0.00327,-0.01926,-0.00415,-0.01640,0.78358,0,-0.01623,-0.00340
0.0661,-0.41125,-0.01064,-0.01258,-0.00327,0.02367,0.00532,-2.72414,-0.00457,-0.00012,-0.01071,-0.00326,-0.01830,-0.00402,-0.01645,0.78360,0,-0.01623,-0.00340
0.0681,-0.41125,-0.01064,-0.01253,-0.00326,0.02306,0.00527,-2.72414,-0.00470,-0.00012,-0.01066,-0.00325,-0.01722,-0.00376,-0.01650,0.78354,0,-0.01623,-0.00340
0.0701,-0.41125,-0.01064,-0.01248,-0.00325,0.02234,0.00510,-2.72414,-0.00484,-0.00012,-0.01062,-0.00324,-0.01600,-0.00337,-0.01653,0.78356,0,-0.01623,-0.00340
0.0721,-0.41125,-0.01064,-0.01244,-0.00324,0.02151,0.00482,-2.72414,-0.00498,-0.00013,-0.01058,-0.00323,-0.01491,-0.00311,-0.01656,0.78358,0,-0.01623,-0.00340
0.0741,-0.41125,-0.01064,-0.01240,-0.00323,0.02079,0.00465,-2.72414,-0.00512,-0.00013,-0.01054,-0.00322,-0.01395,-0.00297,-0.01659,0.78355,0,-0.01623,-0.00340
0.0761,-0.40615,-0.01142,-0.03188,-0.00143,-0.22790,0.02753,-2.71044,-0.00526,-0.00013,-0.02851,-0.00165,-0.01312,-0.00271,-0.01661,0.78352,0,-0.02084,-0.00277
0.0781,-0.40615,-0.01142,-0.03234,-0.00138,-0.22807,0.02733,-2.71044,-0.00540,-0.00014,-0.02897,-0.00160,-0.01242,-0.00232,-0.01661,0.78352,0,-0.02084,-0.00277
0.0801,-0.40615,-0.01142,-0.03280,-0.00132,-0.22812,0.02702,-2.71044,-0.00554,-0.00014,-0.02943,-0.00154,-0.01184,-0.00180,-0.01665,0.78355,0,-0.02084,-0.00277
0.0821,-0.40615,-0.01142,-0.03325,-0.00127,-0.22805,0.02660,-2.71044,-0.00568,-0.00015,-0.02989,-0.00149,-0.01139,-0.00141,-0.01668,0.78359,0,-0.02084,-0.00277
0.0841,-0.40615,-0.01142,-0.03371,-0.00122,-0.22787,0.02629,-2.71044,-0.00581,-0.00015,-0.03035,-0.00144,-0.01107,-0.00115,-0.01666,0.78356,0,-0.02084,-0.00277
0.0861,-0.40615,-0.01142,-0.03416,-0.00117,-0.22757,0.02608,-2.71044,-0.00595,-0.00015,-0.03081,-0.00139,-0.01088,-0.00102,-0.01667,0.78356,0,-0.02084,-0.00277
