t,ex,ey,th_x,th_y,thd_x,thd_y,yaw,vref_x,vref_y,vfb_x,vfb_y,vcmd_x,vcmd_y,tcp_x,tcp_y,dans_cible,th_brut_x,th_brut_y,hx,hy,hdx,hdy,hdyaw,hbouge
0.0000,-0.51678,-0.02059,0.00088,0.00126,0.00000,0.00000,1.71794,0.00000,0.00000,-0.09473,0.00832,-0.00013,0.00013,0.01262,0.86006,0,0.00088,0.00126,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0020,-0.51678,-0.02059,0.00088,0.00126,0.00010,-0.00014,1.71794,0.00000,0.00000,-0.09473,0.00832,-0.00038,0.00038,0.01258,0.86006,0,0.00088,0.00126,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0040,-0.51678,-0.02059,0.00088,0.00126,0.00032,-0.00039,1.71794,0.00000,0.00000,-0.09473,0.00832,-0.00077,0.00077,0.01257,0.86005,0,0.00088,0.00126,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0061,-0.51678,-0.02059,0.00088,0.00126,0.00065,-0.00077,1.71794,0.00000,0.00000,-0.09472,0.00830,-0.00128,0.00128,0.01256,0.86006,0,0.00088,0.00126,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0081,-0.51678,-0.02059,0.00088,0.00126,0.00110,-0.00125,1.71794,0.00000,0.00000,-0.09470,0.00828,-0.00192,0.00192,0.01252,0.86005,0,0.00088,0.00126,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0101,-0.51678,-0.02059,0.00088,0.00126,0.00167,-0.00186,1.71794,0.00000,0.00000,-0.09468,0.00825,-0.00269,0.00269,0.01256,0.86005,0,0.00088,0.00126,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0121,-0.51678,-0.02059,0.00089,0.00125,0.00235,-0.00258,1.71794,0.00000,0.00000,-0.09464,0.00821,-0.00358,0.00358,0.01257,0.86007,0,0.00088,0.00126,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0141,-0.51678,-0.02059,0.00089,0.00125,0.00315,-0.00342,1.71794,0.00000,0.00000,-0.09458,0.00815,-0.00461,0.00461,0.01253,0.86008,0,0.00088,0.00126,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0161,-0.51678,-0.02059,0.00090,0.00124,0.00406,-0.00437,1.71794,0.00000,0.00000,-0.09451,0.00807,-0.00576,0.00576,0.01255,0.86004,0,0.00088,0.00126,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0181,-0.51678,-0.02059,0.00091,0.00123,0.00509,-0.00544,1.71794,0.00000,0.00000,-0.09442,0.00798,-0.00704,0.00704,0.01248,0.86008,0,0.00088,0.00126,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0201,-0.51678,-0.02059,0.00092,0.00122,0.00624,-0.00662,1.71794,0.00000,0.00000,-0.09431,0.00786,-0.00845,0.00819,0.01251,0.86009,0,0.00088,0.00126,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0221,-0.51678,-0.02059,0.00093,0.00120,0.00750,-0.00769,1.71794,0.00000,0.00000,-0.09417,0.00772,-0.00998,0.00922,0.01252,0.86013,0,0.00088,0.00126,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0241,-0.51678,-0.02059,0.00095,0.00119,0.00888,-0.00864,1.71794,0.00000,0.00000,-0.09401,0.00756,-0.01158,0.01011,0.01245,0.86015,0,0.00088,0.00126,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0261,-0.51678,-0.02059,0.00097,0.00117,0.01032,-0.00948,1.71794,0.00000,0.00000,-0.09382,0.00738,-0.01318,0.01088,0.01238,0.86015,0,0.00088,0.00126,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0282,-0.51678,-0.02059,0.00099,0.00115,0.01176,-0.01020,1.71794,0.00000,0.00000,-0.09361,0.00719,-0.01478,0.01152,0.01244,0.86021,0,0.00088,0.00126,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0302,-0.51678,-0.02059,0.00102,0.00113,0.01319,-0.01080,1.71794,0.00000,0.00000,-0.09336,0.00698,-0.01638,0.01203,0.01242,0.86025,0,0.00088,0.00126,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0322,-0.51678,-0.02059,0.00104,0.00111,0.01463,-0.01128,1.71794,0.00000,0.00000,-0.09309,0.00676,-0.01798,0.01242,0.01233,0.86026,0,0.00088,0.00126,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0342,-0.51678,-0.02059,0.00107,0.00108,0.01607,-0.01165,1.71794,0.00000,0.00000,-0.09279,0.00654,-0.01958,0.01267,0.01232,0.86026,0,0.00088,0.00126,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0362,-0.51678,-0.02059,0.00111,0.00106,0.01750,-0.01190,1.71794,0.00000,0.00000,-0.09245,0.00630,-0.02118,0.01280,0.01222,0.86030,0,0.00088,0.00126,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0382,-0.51678,-0.02059,0.00114,0.00104,0.01893,-0.01204,1.71794,0.00000,0.00000,-0.09210,0.00607,-0.02278,0.01280,0.01218,0.86030,0,0.00088,0.00126,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0402,-0.51678,-0.02059,0.00118,0.00101,0.02037,-0.01206,1.71794,0.00000,0.00000,-0.09171,0.00583,-0.02438,0.01267,0.01215,0.86034,0,0.00088,0.00126,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0422,-0.51678,-0.02059,0.00123,0.00099,0.02180,-0.01196,1.71794,0.00000,0.00000,-0.09129,0.00560,-0.02598,0.01242,0.01212,0.86036,0,0.00088,0.00126,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0442,-0.51678,-0.02059,0.00127,0.00096,0.02323,-0.01174,1.71794,0.00000,0.00000,-0.09085,0.00536,-0.02758,0.01203,0.01210,0.86038,0,0.00088,0.00126,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0462,-0.51553,-0.02113,-0.00054,0.00201,-0.00752,0.00592,1.71632,0.00000,0.00000,-0.10843,0.01551,-0.02918,0.01178,0.01202,0.86047,0,-0.00002,0.00178,-0.09739,0.46760,-0.00077,-0.00131,-0.00035,0
0.0482,-0.51553,-0.02113,-0.00055,0.00202,-0.00606,0.00612,1.71632,0.00000,0.00000,-0.10856,0.01563,-0.03078,0.01165,0.01202,0.86047,0,-0.00002,0.00178,-0.09739,0.46760,-0.00077,-0.00131,-0.00035,0
0.0502,-0.51553,-0.02113,-0.00056,0.00203,-0.00459,0.00620,1.71632,0.00000,0.00000,-0.10866,0.01575,-0.03238,0.01165,0.01191,0.86045,0,-0.00002,0.00178,-0.09739,0.46760,-0.00077,-0.00131,-0.00035,0
0.0522,-0.51553,-0.02113,-0.00057,0.00204,-0.00313,0.00616,1.71632,0.00000,0.00000,-0.10874,0.01587,-0.03398,0.01178,0.01187,0.86050,0,-0.00002,0.00178,-0.09739,0.46760,-0.00077,-0.00131,-0.00035,0
0.0542,-0.51553,-0.02113,-0.00058,0.00205,-0.00166,0.00601,1.71632,0.00000,0.00000,-0.10879,0.01599,-0.03558,0.01203,0.01186,0.86049,0,-0.00002,0.00178,-0.09739,0.46760,-0.00077,-0.00131,-0.00035,0
0.0563,-0.51553,-0.02113,-0.00058,0.00207,-0.00020,0.00574,1.71632,0.00000,0.00000,-0.10881,0.01611,-0.03718,0.01242,0.01178,0.86051,0,-0.00002,0.00178,-0.09739,0.46760,-0.00077,-0.00131,-0.00035,0
0.0583,-0.51553,-0.02113,-0.00058,0.00208,0.00127,0.00536,1.71632,0.00000,0.00000,-0.10879,0.01622,-0.03878,0.01293,0.01171,0.86055,0,-0.00002,0.00178,-0.09739,0.46760,-0.00077,-0.00131,-0.00035,0
0.0603,-0.51553,-0.02113,-0.00057,0.00209,0.00273,0.00485,1.71632,0.00000,0.00000,-0.10876,0.01632,-0.04038,0.01357,0.01165,0.86058,0,-0.00002,0.00178,-0.09739,0.46760,-0.00077,-0.00131,-0.00035,0
0.0623,-0.51553,-0.02113,-0.00057,0.00210,0.00420,0.00423,1.71632,0.00000,0.00000,-0.10869,0.01641,-0.04198,0.01434,0.01161,0.86059,0,-0.00002,0.00178,-0.09739,0.46760,-0.00077,-0.00131,-0.00035,0
0.0643,-0.51553,-0.02113,-0.00056,0.00210,0.00566,0.00350,1.71632,0.00000,0.00000,-0.10859,0.01648,-0.04358,0.01523,0.01156,0.86062,0,-0.00002,0.00178,-0.09739,0.46760,-0.00077,-0.00131,-0.00035,0
0.0663,-0.51553,-0.02113,-0.00054,0.00211,0.00712,0.00265,1.71632,0.00000,0.00000,-0.10846,0.01654,-0.04518,0.01626,0.01144,0.86065,0,-0.00002,0.00178,-0.09739,0.46760,-0.00077,-0.00131,-0.00035,0
0.0683,-0.51553,-0.02113,-0.00053,0.00211,0.00859,0.00168,1.71632,0.00000,0.00000,-0.10831,0.01659,-0.04678,0.01715,0.01141,0.86067,0,-0.00002,0.00178,-0.09739,0.46760,-0.00077,-0.00131,-0.00035,0
0.0703,-0.51553,-0.02113,-0.00051,0.00212,0.01005,0.00082,1.71632,0.00000,0.00000,-0.10813,0.01661,-0.04838,0.01792,0.01129,0.86071,0,-0.00002,0.00178,-0.09739,0.46760,-0.00077,-0.00131,-0.00035,0
0.0723,-0.51553,-0.02113,-0.00049,0.00212,0.01152,0.00009,1.71632,0.00000,0.00000,-0.10791,0.01662,-0.04998,0.01856,0.01127,0.86077,0,-0.00002,0.00178,-0.09739,0.46760,-0.00077,-0.00131,-0.00035,0
0.0743,-0.51553,-0.02113,-0.00046,0.00212,0.01298,-0.00053,1.71632,0.00000,0.00000,-0.10767,0.01661,-0.05158,0.01907,0.01118,0.86078,0,-0.00002,0.00178,-0.09739,0.46760,-0.00077,-0.00131,-0.00035,0
0.0763,-0.51553,-0.02113,-0.00044,0.00212,0.01444,-0.00103,1.71632,0.00000,0.00000,-0.10740,0.01660,-0.05318,0.01946,0.01107,0.86079,0,-0.00002,0.00178,-0.09739,0.46760,-0.00077,-0.00131,-0.00035,0
0.0783,-0.51553,-0.02113,-0.00041,0.00211,0.01590,-0.00142,1.71632,0.00000,0.00000,-0.10710,0.01657,-0.05478,0.01971,0.01098,0.86085,0,-0.00002,0.00178,-0.09739,0.46760,-0.00077,-0.00131,-0.00035,0
0.0803,-0.51553,-0.02113,-0.00037,0.00211,0.01736,-0.00169,1.71632,0.00000,0.00000,-0.10678,0.01654,-0.05638,0.01984,0.01090,0.86089,0,-0.00002,0.00178,-0.09739,0.46760,-0.00077,-0.00131,-0.00035,0
0.0823,-0.51553,-0.02113,-0.00034,0.00211,0.01882,-0.00185,1.71632,0.00000,0.00000,-0.10642,0.01651,-0.05798,0.01984,0.01077,0.86095,0,-0.00002,0.00178,-0.09739,0.46760,-0.00077,-0.00131,-0.00035,0
0.0843,-0.51553,-0.02113,-0.00030,0.00210,0.02028,-0.00188,1.71632,0.00000,0.00000,-0.10604,0.01647,-0.05958,0.01971,0.01069,0.86096,0,-0.00002,0.00178,-0.09739,0.46760,-0.00077,-0.00131,-0.00035,0
0.0863,-0.51553,-0.02113,-0.00026,0.00210,0.02174,-0.00180,1.71632,0.00000,0.00000,-0.10562,0.01644,-0.06118,0.01946,0.01050,0.86098,0,-0.00002,0.00178,-0.09739,0.46760,-0.00077,-0.00131,-0.00035,0
0.0883,-0.51553,-0.02113,-0.00021,0.00210,0.02320,-0.00161,1.71632,0.00000,0.00000,-0.10518,0.01640,-0.06278,0.01907,0.01046,0.86101,0,-0.00002,0.00178,-0.09739,0.46760,-0.00077,-0.00131,-0.00035,0
