t,ex,ey,th_x,th_y,thd_x,thd_y,yaw,vref_x,vref_y,vfb_x,vfb_y,vcmd_x,vcmd_y,tcp_x,tcp_y,dans_cible,th_brut_x,th_brut_y,hx,hy,hdx,hdy,hdyaw,hbouge
0.0000,-0.45611,-0.06292,0.00815,0.02177,0.00000,0.00000,1.58722,-0.00000,-0.00000,0.00791,0.02113,0.00013,0.00013,0.01256,0.86020,0,0.00815,0.02177,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0020,-0.45870,-0.06544,0.00937,0.02303,-0.00017,-0.00041,1.58562,-0.00008,-0.00001,0.00831,0.02159,0.00038,0.00038,0.01260,0.86022,0,0.01058,0.02429,-0.02869,0.41257,-0.00451,-0.00168,-0.00039,0
0.0040,-0.45870,-0.06544,0.00937,0.02303,-0.00057,-0.00105,1.58562,-0.00015,-0.00002,0.00831,0.02159,0.00077,0.00077,0.01260,0.86020,0,0.01058,0.02429,-0.02869,0.41257,-0.00451,-0.00168,-0.00039,0
0.0060,-0.45870,-0.06544,0.00936,0.02302,-0.00108,-0.00181,1.58562,-0.00023,-0.00003,0.00831,0.02159,0.00128,0.00128,0.01260,0.86021,0,0.01058,0.02429,-0.02869,0.41257,-0.00451,-0.00168,-0.00039,0
0.0080,-0.45870,-0.06544,0.00936,0.02302,-0.00172,-0.00269,1.58562,-0.00030,-0.00004,0.00831,0.02158,0.00192,0.00192,0.01259,0.86019,0,0.01058,0.02429,-0.02869,0.41257,-0.00451,-0.00168,-0.00039,0
0.0100,-0.45870,-0.06544,0.00936,0.02301,-0.00246,-0.00368,1.58562,-0.00038,-0.00005,0.00830,0.02158,0.00269,0.00269,0.01259,0.86020,0,0.01058,0.02429,-0.02869,0.41257,-0.00451,-0.00168,-0.00039,0
0.0120,-0.45870,-0.06544,0.00935,0.02301,-0.00333,-0.00479,1.58562,-0.00045,-0.00006,0.00830,0.02157,0.00358,0.00358,0.01258,0.86022,0,0.01058,0.02429,-0.02869,0.41257,-0.00451,-0.00168,-0.00039,0
0.0141,-0.45870,-0.06544,0.00934,0.02299,-0.00431,-0.00602,1.58562,-0.00053,-0.00007,0.00829,0.02156,0.00461,0.00461,0.01259,0.86023,0,0.01058,0.02429,-0.02869,0.41257,-0.00451,-0.00168,-0.00039,0
0.0161,-0.45870,-0.06544,0.00933,0.02298,-0.00541,-0.00736,1.58562,-0.00060,-0.00008,0.00828,0.02155,0.00576,0.00576,0.01258,0.86022,0,0.01058,0.02429,-0.02869,0.41257,-0.00451,-0.00168,-0.00039,0
0.0181,-0.45870,-0.06544,0.00932,0.02296,-0.00662,-0.00881,1.58562,-0.00068,-0.00009,0.00827,0.02153,0.00704,0.00704,0.01266,0.86024,0,0.01058,0.02429,-0.02869,0.41257,-0.00451,-0.00168,-0.00039,0
0.0201,-0.45870,-0.06544,0.00931,0.02295,-0.00795,-0.01039,1.58562,-0.00076,-0.00010,0.00825,0.02151,0.00819,0.00845,0.01264,0.86028,0,0.01058,0.02429,-0.02869,0.41257,-0.00451,-0.00168,-0.00039,0
0.0221,-0.45870,-0.06544,0.00929,0.02292,-0.00916,-0.01207,1.58562,-0.00083,-0.00011,0.00824,0.02149,0.00922,0.00998,0.01266,0.86027,0,0.01058,0.02429,-0.02869,0.41257,-0.00451,-0.00168,-0.00039,0
0.0241,-0.45870,-0.06544,0.00927,0.02290,-0.01026,-0.01388,1.58562,-0.00091,-0.00013,0.00822,0.02146,0.01011,0.01158,0.01274,0.86028,0,0.01058,0.02429,-0.02869,0.41257,-0.00451,-0.00168,-0.00039,0
0.0261,-0.45870,-0.06544,0.00925,0.02287,-0.01124,-0.01574,1.58562,-0.00098,-0.00014,0.00820,0.02144,0.01088,0.01318,0.01273,0.86030,0,0.01058,0.02429,-0.02869,0.41257,-0.00451,-0.00168,-0.00039,0
0.0281,-0.45870,-0.06544,0.00923,0.02283,-0.01210,-0.01760,1.58562,-0.00106,-0.00015,0.00817,0.02140,0.01152,0.01478,0.01273,0.86034,0,0.01058,0.02429,-0.02869,0.41257,-0.00451,-0.00168,-0.00039,0
0.0301,-0.45870,-0.06544,0.00920,0.02280,-0.01285,-0.01946,1.58562,-0.00113,-0.00016,0.00815,0.02137,0.01203,0.01638,0.01279,0.86038,0,0.01058,0.02429,-0.02869,0.41257,-0.00451,-0.00168,-0.00039,0
