t,ex,ey,th_x,th_y,thd_x,thd_y,yaw,vref_x,vref_y,vfb_x,vfb_y,vcmd_x,vcmd_y,tcp_x,tcp_y,dans_cible,th_brut_x,th_brut_y,hx,hy,hdx,hdy,hdyaw,hbouge
0.0000,-0.48667,-0.02881,-0.01585,0.00350,0.00000,0.00000,1.68145,-0.00000,-0.00000,-0.05183,0.01143,-0.00013,0.00013,0.01264,0.86009,0,-0.01585,0.00350,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0020,-0.48667,-0.02881,-0.01585,0.00350,0.00040,-0.00018,1.68145,-0.00014,-0.00001,-0.05183,0.01143,-0.00038,0.00038,0.01259,0.86008,0,-0.01585,0.00350,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0040,-0.48667,-0.02881,-0.01585,0.00349,0.00091,-0.00047,1.68145,-0.00029,-0.00002,-0.05183,0.01143,-0.00077,0.00077,0.01261,0.86009,0,-0.01585,0.00350,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0060,-0.48667,-0.02881,-0.01585,0.00349,0.00155,-0.00089,1.68145,-0.00043,-0.00003,-0.05182,0.01142,-0.00128,0.00128,0.01262,0.86011,0,-0.01585,0.00350,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0081,-0.48667,-0.02881,-0.01584,0.00349,0.00229,-0.00141,1.68145,-0.00057,-0.00003,-0.05181,0.01141,-0.00192,0.00192,0.01259,0.86009,0,-0.01585,0.00350,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0101,-0.48667,-0.02881,-0.01584,0.00349,0.00316,-0.00206,1.68145,-0.00072,-0.00004,-0.05179,0.01140,-0.00269,0.00269,0.01266,0.86007,0,-0.01585,0.00350,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0121,-0.48667,-0.02881,-0.01583,0.00348,0.00414,-0.00282,1.68145,-0.00086,-0.00005,-0.05177,0.01139,-0.00358,0.00358,0.01262,0.86009,0,-0.01585,0.00350,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0141,-0.48667,-0.02881,-0.01582,0.00348,0.00524,-0.00369,1.68145,-0.00100,-0.00006,-0.05174,0.01137,-0.00461,0.00461,0.01256,0.86012,0,-0.01585,0.00350,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0161,-0.48667,-0.02881,-0.01581,0.00347,0.00645,-0.00469,1.68145,-0.00115,-0.00007,-0.05170,0.01134,-0.00576,0.00576,0.01256,0.86010,0,-0.01585,0.00350,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0181,-0.48667,-0.02881,-0.01579,0.00346,0.00778,-0.00580,1.68145,-0.00129,-0.00008,-0.05165,0.01130,-0.00704,0.00704,0.01254,0.86013,0,-0.01585,0.00350,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0201,-0.48667,-0.02881,-0.01578,0.00344,0.00922,-0.00702,1.68145,-0.00143,-0.00008,-0.05160,0.01126,-0.00845,0.00845,0.01255,0.86018,0,-0.01585,0.00350,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0221,-0.48667,-0.02881,-0.01576,0.00343,0.01078,-0.00836,1.68145,-0.00157,-0.00009,-0.05153,0.01121,-0.00998,0.00998,0.01246,0.86018,0,-0.01585,0.00350,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0241,-0.48667,-0.02881,-0.01573,0.00341,0.01246,-0.00982,1.68145,-0.00172,-0.00010,-0.05146,0.01115,-0.01158,0.01139,0.01246,0.86016,0,-0.01585,0.00350,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0261,-0.48667,-0.02881,-0.01571,0.00339,0.01419,-0.01116,1.68145,-0.00186,-0.00011,-0.05137,0.01108,-0.01318,0.01267,0.01245,0.86022,0,-0.01585,0.00350,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0282,-0.48667,-0.02881,-0.01568,0.00337,0.01593,-0.01238,1.68145,-0.00200,-0.00012,-0.05127,0.01101,-0.01478,0.01382,0.01243,0.86027,0,-0.01585,0.00350,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0302,-0.48667,-0.02881,-0.01564,0.00334,0.01766,-0.01349,1.68145,-0.00215,-0.00013,-0.05117,0.01092,-0.01638,0.01485,0.01242,0.86030,0,-0.01585,0.00350,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0322,-0.48667,-0.02881,-0.01561,0.00331,0.01940,-0.01448,1.68145,-0.00229,-0.00014,-0.05105,0.01083,-0.01798,0.01574,0.01239,0.86031,0,-0.01585,0.00350,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0342,-0.48667,-0.02881,-0.01557,0.00328,0.02113,-0.01535,1.68145,-0.00243,-0.00014,-0.05091,0.01073,-0.01958,0.01651,0.01233,0.86033,0,-0.01585,0.00350,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0362,-0.48667,-0.02881,-0.01552,0.00325,0.02286,-0.01611,1.68145,-0.00258,-0.00015,-0.05077,0.01063,-0.02118,0.01715,0.01233,0.86037,0,-0.01585,0.00350,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0382,-0.48667,-0.02881,-0.01548,0.00322,0.02459,-0.01675,1.68145,-0.00272,-0.00016,-0.05062,0.01052,-0.02278,0.01766,0.01225,0.86037,0,-0.01585,0.00350,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0402,-0.48667,-0.02881,-0.01542,0.00318,0.02632,-0.01727,1.68145,-0.00286,-0.00017,-0.05045,0.01041,-0.02438,0.01805,0.01221,0.86041,0,-0.01585,0.00350,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0422,-0.48667,-0.02881,-0.01537,0.00315,0.02805,-0.01767,1.68145,-0.00300,-0.00018,-0.05028,0.01030,-0.02598,0.01830,0.01220,0.86049,0,-0.01585,0.00350,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0442,-0.48667,-0.02881,-0.01531,0.00311,0.02977,-0.01796,1.68145,-0.00315,-0.00019,-0.05009,0.01018,-0.02758,0.01843,0.01214,0.86047,0,-0.01585,0.00350,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0462,-0.48667,-0.02881,-0.01525,0.00308,0.03150,-0.01813,1.68145,-0.00329,-0.00019,-0.04989,0.01006,-0.02918,0.01843,0.01212,0.86052,0,-0.01585,0.00350,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0482,-0.48937,-0.02960,-0.00844,0.00459,0.15188,0.00853,1.67938,-0.00343,-0.00020,-0.02842,0.01478,-0.03078,0.01830,0.01203,0.86055,0,-0.01314,0.00410,-0.08338,0.46714,-0.00026,-0.00148,-0.00231,0
0.0502,-0.48937,-0.02960,-0.00813,0.00461,0.15347,0.00857,1.67938,-0.00357,-0.00021,-0.02742,0.01484,-0.03226,0.01805,0.01206,0.86059,0,-0.01314,0.00410,-0.08338,0.46714,-0.00026,-0.00148,-0.00231,0
0.0522,-0.48937,-0.02960,-0.00782,0.00463,0.15495,0.00872,1.67938,-0.00372,-0.00022,-0.02641,0.01489,-0.03360,0.01766,0.01193,0.86065,0,-0.01314,0.00410,-0.08338,0.46714,-0.00026,-0.00148,-0.00231,0
0.0542,-0.48937,-0.02960,-0.00751,0.00465,0.15631,0.00898,1.67938,-0.00386,-0.00023,-0.02540,0.01495,-0.03482,0.01715,0.01191,0.86065,0,-0.01314,0.00410,-0.08338,0.46714,-0.00026,-0.00148,-0.00231,0
0.0562,-0.48937,-0.02960,-0.00720,0.00466,0.15754,0.00937,1.67938,-0.00400,-0.00024,-0.02437,0.01501,-0.03590,0.01651,0.01187,0.86069,0,-0.01314,0.00410,-0.08338,0.46714,-0.00026,-0.00148,-0.00231,0
0.0582,-0.48937,-0.02960,-0.00688,0.00468,0.15865,0.00986,1.67938,-0.00414,-0.00025,-0.02334,0.01507,-0.03686,0.01574,0.01181,0.86075,0,-0.01314,0.00410,-0.08338,0.46714,-0.00026,-0.00148,-0.00231,0
0.0602,-0.48937,-0.02960,-0.00656,0.00470,0.15964,0.01048,1.67938,-0.00429,-0.00025,-0.02230,0.01514,-0.03770,0.01488,0.01176,0.86077,0,-0.01314,0.00410,-0.08338,0.46714,-0.00026,-0.00148,-0.00231,0
0.0622,-0.48937,-0.02960,-0.00624,0.00473,0.16050,0.01117,1.67938,-0.00443,-0.00026,-0.02126,0.01521,-0.03840,0.01415,0.01169,0.86081,0,-0.01314,0.00410,-0.08338,0.46714,-0.00026,-0.00148,-0.00231,0
0.0642,-0.48937,-0.02960,-0.00592,0.00475,0.16125,0.01175,1.67938,-0.00457,-0.00027,-0.02021,0.01528,-0.03898,0.01355,0.01162,0.86084,0,-0.01314,0.00410,-0.08338,0.46714,-0.00026,-0.00148,-0.00231,0
0.0662,-0.48937,-0.02960,-0.00560,0.00477,0.16187,0.01222,1.67938,-0.00471,-0.00028,-0.01916,0.01536,-0.03942,0.01308,0.01157,0.86086,0,-0.01314,0.00410,-0.08338,0.46714,-0.00026,-0.00148,-0.00231,0
0.0682,-0.48937,-0.02960,-0.00527,0.00480,0.16237,0.01256,1.67938,-0.00486,-0.00029,-0.01810,0.01544,-0.03974,0.01273,0.01152,0.86085,0,-0.01314,0.00410,-0.08338,0.46714,-0.00026,-0.00148,-0.00231,0
0.0702,-0.48937,-0.02960,-0.00495,0.00482,0.16275,0.01279,1.67938,-0.00500,-0.00030,-0.01704,0.01553,-0.03994,0.01251,0.01144,0.86089,0,-0.01314,0.00410,-0.08338,0.46714,-0.00026,-0.00148,-0.00231,0
0.0722,-0.48937,-0.02960,-0.00462,0.00485,0.16300,0.01291,1.67938,-0.00514,-0.00030,-0.01598,0.01561,-0.04000,0.01242,0.01139,0.86091,0,-0.01314,0.00410,-0.08338,0.46714,-0.00026,-0.00148,-0.00231,0
0.0742,-0.48937,-0.02960,-0.00430,0.00487,0.16313,0.01290,1.67938,-0.00528,-0.00031,-0.01491,0.01569,-0.03994,0.01246,0.01127,0.86094,0,-0.01314,0.00410,-0.08338,0.46714,-0.00026,-0.00148,-0.00231,0
0.0762,-0.48937,-0.02960,-0.00397,0.00490,0.16315,0.01278,1.67938,-0.00543,-0.00032,-0.01385,0.01578,-0.03974,0.01262,0.01122,0.86095,0,-0.01314,0.00410,-0.08338,0.46714,-0.00026,-0.00148,-0.00231,0
0.0782,-0.48937,-0.02960,-0.00364,0.00492,0.16303,0.01254,1.67938,-0.00557,-0.00033,-0.01279,0.01586,-0.03942,0.01291,0.01113,0.86098,0,-0.01314,0.00410,-0.08338,0.46714,-0.00026,-0.00148,-0.00231,0
0.0802,-0.48937,-0.02960,-0.00332,0.00495,0.16280,0.01219,1.67938,-0.00571,-0.00034,-0.01172,0.01594,-0.03898,0.01333,0.01110,0.86098,0,-0.01314,0.00410,-0.08338,0.46714,-0.00026,-0.00148,-0.00231,0
0.0822,-0.48937,-0.02960,-0.00299,0.00497,0.16245,0.01172,1.67938,-0.00585,-0.00035,-0.01066,0.01602,-0.03840,0.01388,0.01099,0.86101,0,-0.01314,0.00410,-0.08338,0.46714,-0.00026,-0.00148,-0.00231,0
0.0842,-0.48937,-0.02960,-0.00267,0.00500,0.16197,0.01113,1.67938,-0.00600,-0.00035,-0.00961,0.01609,-0.03770,0.01456,0.01099,0.86106,0,-0.01314,0.00410,-0.08338,0.46714,-0.00026,-0.00148,-0.00231,0
0.0862,-0.48937,-0.02960,-0.00234,0.00502,0.16137,0.01042,1.67938,-0.00614,-0.00036,-0.00855,0.01616,-0.03686,0.01537,0.01089,0.86110,0,-0.01314,0.00410,-0.08338,0.46714,-0.00026,-0.00148,-0.00231,0
0.0883,-0.48937,-0.02960,-0.00202,0.00504,0.16065,0.00960,1.67938,-0.00628,-0.00037,-0.00750,0.01623,-0.03590,0.01604,0.01087,0.86113,0,-0.01314,0.00410,-0.08338,0.46714,-0.00026,-0.00148,-0.00231,0
0.0903,-0.48937,-0.02960,-0.00170,0.00506,0.15980,0.00890,1.67938,-0.00642,-0.00038,-0.00646,0.01629,-0.03482,0.01659,0.01079,0.86118,0,-0.01314,0.00410,-0.08338,0.46714,-0.00026,-0.00148,-0.00231,0
