t,ex,ey,th_x,th_y,thd_x,thd_y,yaw,vref_x,vref_y,vfb_x,vfb_y,vcmd_x,vcmd_y,tcp_x,tcp_y,dans_cible,th_brut_x,th_brut_y,hx,hy,hdx,hdy,hdyaw,hbouge
0.0000,-0.50583,0.03821,-0.01373,0.00301,0.00000,0.00000,1.41546,-0.00000,0.00000,-0.13509,0.02962,-0.00013,0.00013,0.01254,0.86003,0,-0.01373,0.00301,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0020,-0.50583,0.03821,-0.01373,0.00301,0.00036,-0.00017,1.41546,-0.00014,0.00001,-0.13509,0.02962,-0.00038,0.00038,0.01252,0.86001,0,-0.01373,0.00301,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0040,-0.50583,0.03821,-0.01373,0.00301,0.00084,-0.00046,1.41546,-0.00029,0.00002,-0.13508,0.02961,-0.00077,0.00077,0.01253,0.86002,0,-0.01373,0.00301,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0060,-0.50583,0.03821,-0.01373,0.00301,0.00143,-0.00086,1.41546,-0.00043,0.00003,-0.13505,0.02960,-0.00128,0.00128,0.01250,0.86004,0,-0.01373,0.00301,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0080,-0.50583,0.03821,-0.01372,0.00301,0.00214,-0.00138,1.41546,-0.00057,0.00004,-0.13502,0.02957,-0.00192,0.00192,0.01254,0.86005,0,-0.01373,0.00301,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0100,-0.50583,0.03821,-0.01372,0.00300,0.00297,-0.00201,1.41546,-0.00071,0.00005,-0.13497,0.02954,-0.00269,0.00269,0.01255,0.86004,0,-0.01373,0.00301,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0120,-0.50583,0.03821,-0.01371,0.00300,0.00391,-0.00277,1.41546,-0.00086,0.00006,-0.13490,0.02949,-0.00358,0.00358,0.01254,0.86003,0,-0.01373,0.00301,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0140,-0.50583,0.03821,-0.01370,0.00299,0.00497,-0.00363,1.41546,-0.00100,0.00008,-0.13482,0.02943,-0.00461,0.00461,0.01249,0.86000,0,-0.01373,0.00301,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0161,-0.50583,0.03821,-0.01369,0.00298,0.00615,-0.00462,1.41546,-0.00114,0.00009,-0.13471,0.02935,-0.00576,0.00576,0.01254,0.86006,0,-0.01373,0.00301,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0181,-0.50583,0.03821,-0.01368,0.00297,0.00744,-0.00572,1.41546,-0.00128,0.00010,-0.13457,0.02925,-0.00704,0.00704,0.01248,0.86008,0,-0.01373,0.00301,0.00000,0.00000,0.00000,0.00000,0.00000,0
