t,ex,ey,th_x,th_y,thd_x,thd_y,yaw,vref_x,vref_y,vfb_x,vfb_y,vcmd_x,vcmd_y,tcp_x,tcp_y,dans_cible,th_brut_x,th_brut_y,hx,hy,hdx,hdy,hdyaw,hbouge
0.0000,-0.51566,0.01548,-0.00930,0.00151,0.00000,0.00000,1.53722,-0.00000,0.00000,-0.09148,0.01486,-0.00013,0.00013,0.01252,0.86006,0,-0.00930,0.00151,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0020,-0.51566,0.01548,-0.00930,0.00151,0.00028,-0.00014,1.53722,-0.00008,0.00000,-0.09148,0.01486,-0.00038,0.00038,0.01255,0.86007,0,-0.00930,0.00151,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0040,-0.51566,0.01548,-0.00930,0.00151,0.00068,-0.00040,1.53722,-0.00015,0.00000,-0.09147,0.01485,-0.00077,0.00077,0.01252,0.86006,0,-0.00930,0.00151,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0060,-0.51566,0.01548,-0.00929,0.00151,0.00120,-0.00078,1.53722,-0.00023,0.00001,-0.09145,0.01484,-0.00128,0.00128,0.01255,0.86005,0,-0.00930,0.00151,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0080,-0.51566,0.01548,-0.00929,0.00151,0.00183,-0.00127,1.53722,-0.00031,0.00001,-0.09142,0.01482,-0.00192,0.00192,0.01257,0.86004,0,-0.00930,0.00151,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0100,-0.51566,0.01548,-0.00929,0.00150,0.00257,-0.00188,1.53722,-0.00038,0.00001,-0.09138,0.01479,-0.00269,0.00269,0.01257,0.86005,0,-0.00930,0.00151,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0120,-0.51566,0.01548,-0.00928,0.00150,0.00344,-0.00260,1.53722,-0.00046,0.00001,-0.09132,0.01475,-0.00358,0.00358,0.01257,0.86005,0,-0.00930,0.00151,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0140,-0.51566,0.01548,-0.00927,0.00149,0.00442,-0.00345,1.53722,-0.00053,0.00002,-0.09124,0.01469,-0.00461,0.00461,0.01253,0.86006,0,-0.00930,0.00151,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0160,-0.51566,0.01548,-0.00926,0.00148,0.00551,-0.00440,1.53722,-0.00061,0.00002,-0.09115,0.01461,-0.00576,0.00576,0.01254,0.86008,0,-0.00930,0.00151,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0180,-0.51566,0.01548,-0.00925,0.00147,0.00673,-0.00548,1.53722,-0.00069,0.00002,-0.09103,0.01451,-0.00704,0.00704,0.01247,0.86008,0,-0.00930,0.00151,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0200,-0.51566,0.01548,-0.00924,0.00146,0.00805,-0.00667,1.53722,-0.00076,0.00002,-0.09088,0.01439,-0.00845,0.00845,0.01249,0.86009,0,-0.00930,0.00151,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0220,-0.51566,0.01548,-0.00922,0.00145,0.00950,-0.00797,1.53722,-0.00084,0.00003,-0.09071,0.01425,-0.00998,0.00998,0.01244,0.86011,0,-0.00930,0.00151,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0240,-0.51566,0.01548,-0.00920,0.00143,0.01106,-0.00939,1.53722,-0.00091,0.00003,-0.09051,0.01408,-0.01158,0.01158,0.01246,0.86012,0,-0.00930,0.00151,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0261,-0.51566,0.01548,-0.00917,0.00141,0.01268,-0.01087,1.53722,-0.00099,0.00003,-0.09027,0.01388,-0.01318,0.01318,0.01240,0.86012,0,-0.00930,0.00151,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0281,-0.51566,0.01548,-0.00915,0.00139,0.01429,-0.01235,1.53722,-0.00107,0.00003,-0.09001,0.01365,-0.01478,0.01466,0.01243,0.86014,0,-0.00930,0.00151,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0301,-0.51566,0.01548,-0.00912,0.00136,0.01591,-0.01372,1.53722,-0.00114,0.00003,-0.08971,0.01340,-0.01638,0.01600,0.01237,0.86017,0,-0.00930,0.00151,0.00000,0.00000,0.00000,0.00000,0.00000,0
