t,ex,ey,th_x,th_y,thd_x,thd_y,yaw,vref_x,vref_y,vfb_x,vfb_y,vcmd_x,vcmd_y,tcp_x,tcp_y,dans_cible,th_brut_x,th_brut_y,hx,hy,hdx,hdy,hdyaw,hbouge
0.0000,-0.53109,0.02236,0.00411,-0.00016,0.00000,0.00000,1.57460,-0.00000,0.00000,0.01343,-0.00054,0.00013,-0.00013,0.01255,0.86003,0,0.00411,-0.00016,-0.11633,0.46028,0.00145,0.00049,-0.00182,0
0.0021,-0.53109,0.02236,0.00411,-0.00016,-0.00019,0.00012,1.57460,-0.00008,0.00000,0.01342,-0.00054,0.00038,-0.00038,0.01261,0.86001,0,0.00411,-0.00016,-0.11633,0.46028,0.00145,0.00049,-0.00182,0
0.0041,-0.53109,0.02236,0.00410,-0.00016,-0.00050,0.00035,1.57460,-0.00015,0.00001,0.01342,-0.00054,0.00077,-0.00053,0.01260,0.86004,0,0.00411,-0.00016,-0.11633,0.46028,0.00145,0.00049,-0.00182,0
0.0061,-0.53109,0.02236,0.00410,-0.00016,-0.00092,0.00049,1.57460,-0.00023,0.00001,0.01342,-0.00053,0.00128,-0.00055,0.01258,0.86005,0,0.00411,-0.00016,-0.11633,0.46028,0.00145,0.00049,-0.00182,0
0.0081,-0.53109,0.02236,0.00410,-0.00016,-0.00146,0.00051,1.57460,-0.00031,0.00001,0.01341,-0.00053,0.00192,-0.00052,0.01264,0.86005,0,0.00411,-0.00016,-0.11633,0.46028,0.00145,0.00049,-0.00182,0
0.0101,-0.53109,0.02236,0.00410,-0.00016,-0.00211,0.00049,1.57460,-0.00038,0.00002,0.01340,-0.00053,0.00269,-0.00051,0.01259,0.86002,0,0.00411,-0.00016,-0.11633,0.46028,0.00145,0.00049,-0.00182,0
0.0121,-0.53109,0.02236,0.00409,-0.00016,-0.00288,0.00048,1.57460,-0.00046,0.00002,0.01338,-0.00052,0.00358,-0.00051,0.01254,0.86001,0,0.00411,-0.00016,-0.11633,0.46028,0.00145,0.00049,-0.00182,0
0.0141,-0.53109,0.02236,0.00409,-0.00016,-0.00377,0.00048,1.57460,-0.00053,0.00002,0.01336,-0.00052,0.00461,-0.00050,0.01260,0.86001,0,0.00411,-0.00016,-0.11633,0.46028,0.00145,0.00049,-0.00182,0
0.0161,-0.53109,0.02236,0.00408,-0.00016,-0.00477,0.00048,1.57460,-0.00061,0.00003,0.01333,-0.00052,0.00576,-0.00049,0.01257,0.86003,0,0.00411,-0.00016,-0.11633,0.46028,0.00145,0.00049,-0.00182,0
0.0181,-0.53109,0.02236,0.00407,-0.00016,-0.00589,0.00047,1.57460,-0.00069,0.00003,0.01330,-0.00051,0.00704,-0.00049,0.01259,0.86001,0,0.00411,-0.00016,-0.11633,0.46028,0.00145,0.00049,-0.00182,0
0.0201,-0.53109,0.02236,0.00405,-0.00016,-0.00713,0.00047,1.57460,-0.00076,0.00003,0.01325,-0.00051,0.00845,-0.00048,0.01265,0.86001,0,0.00411,-0.00016,-0.11633,0.46028,0.00145,0.00049,-0.00182,0
0.0221,-0.53109,0.02236,0.00404,-0.00016,-0.00848,0.00047,1.57460,-0.00084,0.00004,0.01320,-0.00051,0.00998,-0.00047,0.01266,0.86006,0,0.00411,-0.00016,-0.11633,0.46028,0.00145,0.00049,-0.00182,0
0.0241,-0.53109,0.02236,0.00402,-0.00015,-0.00995,0.00046,1.57460,-0.00092,0.00004,0.01314,-0.00051,0.01158,-0.00047,0.01273,0.86002,0,0.00411,-0.00016,-0.11633,0.46028,0.00145,0.00049,-0.00182,0
0.0261,-0.53109,0.02236,0.00400,-0.00015,-0.01147,0.00046,1.57460,-0.00099,0.00004,0.01307,-0.00050,0.01306,-0.00046,0.01271,0.86002,0,0.00411,-0.00016,-0.11633,0.46028,0.00145,0.00049,-0.00182,0
0.0281,-0.53109,0.02236,0.00397,-0.00015,-0.01288,0.00046,1.57460,-0.00107,0.00004,0.01299,-0.00050,0.01440,-0.00045,0.01281,0.86004,0,0.00411,-0.00016,-0.11633,0.46028,0.00145,0.00049,-0.00182,0
0.0301,-0.53109,0.02236,0.00395,-0.00015,-0.01418,0.00046,1.57460,-0.00114,0.00005,0.01290,-0.00050,0.01562,-0.00045,0.01283,0.86004,0,0.00411,-0.00016,-0.11633,0.46028,0.00145,0.00049,-0.00182,0
0.0321,-0.53230,0.02278,0.00447,-0.00030,-0.01440,0.00050,1.57406,-0.00122,0.00005,0.01424,-0.00085,0.01670,-0.00057,0.01285,0.86005,0,0.00516,-0.00046,-0.11627,0.46015,0.00133,0.00060,-0.00074,0
0.0341,-0.53230,0.02278,0.00444,-0.00030,-0.01547,0.00062,1.57406,-0.00130,0.00005,0.01415,-0.00085,0.01766,-0.00079,0.01291,0.86003,0,0.00516,-0.00046,-0.11627,0.46015,0.00133,0.00060,-0.00074,0
0.0361,-0.53230,0.02278,0.00441,-0.00030,-0.01642,0.00082,1.57406,-0.00137,0.00006,0.01404,-0.00084,0.01850,-0.00088,0.01295,0.86002,0,0.00516,-0.00046,-0.11627,0.46015,0.00133,0.00060,-0.00074,0
0.0381,-0.53230,0.02278,0.00437,-0.00029,-0.01725,0.00091,1.57406,-0.00145,0.00006,0.01393,-0.00083,0.01920,-0.00085,0.01301,0.86002,0,0.00516,-0.00046,-0.11627,0.46015,0.00133,0.00060,-0.00074,0
0.0401,-0.53230,0.02278,0.00434,-0.00029,-0.01797,0.00088,1.57406,-0.00152,0.00006,0.01381,-0.00083,0.01978,-0.00076,0.01303,0.86003,0,0.00516,-0.00046,-0.11627,0.46015,0.00133,0.00060,-0.00074,0
0.0421,-0.53230,0.02278,0.00430,-0.00029,-0.01857,0.00081,1.57406,-0.00160,0.00007,0.01369,-0.00082,0.02022,-0.00076,0.01303,0.86003,0,0.00516,-0.00046,-0.11627,0.46015,0.00133,0.00060,-0.00074,0
0.0442,-0.53230,0.02278,0.00426,-0.00029,-0.01905,0.00081,1.57406,-0.00168,0.00007,0.01357,-0.00082,0.02054,-0.00075,0.01312,0.86002,0,0.00516,-0.00046,-0.11627,0.46015,0.00133,0.00060,-0.00074,0
0.0462,-0.53230,0.02278,0.00423,-0.00029,-0.01942,0.00081,1.57406,-0.00175,0.00007,0.01344,-0.00081,0.02074,-0.00074,0.01315,0.86002,0,0.00516,-0.00046,-0.11627,0.46015,0.00133,0.00060,-0.00074,0
0.0482,-0.53230,0.02278,0.00419,-0.00029,-0.01967,0.00081,1.57406,-0.00183,0.00008,0.01331,-0.00081,0.02080,-0.00073,0.01319,0.86003,0,0.00516,-0.00046,-0.11627,0.46015,0.00133,0.00060,-0.00074,0
0.0502,-0.53230,0.02278,0.00415,-0.00028,-0.01980,0.00080,1.57406,-0.00191,0.00008,0.01318,-0.00080,0.02074,-0.00072,0.01320,0.86001,0,0.00516,-0.00046,-0.11627,0.46015,0.00133,0.00060,-0.00074,0
0.0522,-0.53230,0.02278,0.00411,-0.00028,-0.01981,0.00080,1.57406,-0.00198,0.00008,0.01305,-0.00080,0.02054,-0.00071,0.01321,0.85999,0,0.00516,-0.00046,-0.11627,0.46015,0.00133,0.00060,-0.00074,0
0.0542,-0.53230,0.02278,0.00407,-0.00028,-0.01971,0.00080,1.57406,-0.00206,0.00009,0.01292,-0.00079,0.02022,-0.00070,0.01325,0.86000,0,0.00516,-0.00046,-0.11627,0.46015,0.00133,0.00060,-0.00074,0
0.0562,-0.53230,0.02278,0.00403,-0.00028,-0.01949,0.00079,1.57406,-0.00214,0.00009,0.01279,-0.00079,0.01978,-0.00070,0.01330,0.85997,0,0.00516,-0.00046,-0.11627,0.46015,0.00133,0.00060,-0.00074,0
0.0582,-0.53230,0.02278,0.00399,-0.00028,-0.01916,0.00079,1.57406,-0.00221,0.00009,0.01266,-0.00078,0.01920,-0.00069,0.01334,0.86002,0,0.00516,-0.00046,-0.11627,0.46015,0.00133,0.00060,-0.00074,0
0.0602,-0.53230,0.02278,0.00395,-0.00028,-0.01870,0.00079,1.57406,-0.00229,0.00010,0.01254,-0.00078,0.01850,-0.00068,0.01335,0.85999,0,0.00516,-0.00046,-0.11627,0.46015,0.00133,0.00060,-0.00074,0
0.0622,-0.53230,0.02278,0.00392,-0.00027,-0.01813,0.00079,1.57406,-0.00236,0.00010,0.01242,-0.00077,0.01766,-0.00067,0.01335,0.85999,0,0.00516,-0.00046,-0.11627,0.46015,0.00133,0.00060,-0.00074,0
0.0643,-0.53230,0.02278,0.00388,-0.00027,-0.01745,0.00078,1.57406,-0.00244,0.00010,0.01230,-0.00077,0.01670,-0.00066,0.01338,0.86001,0,0.00516,-0.00046,-0.11627,0.46015,0.00133,0.00060,-0.00074,0
0.0663,-0.53230,0.02278,0.00385,-0.00027,-0.01664,0.00078,1.57406,-0.00252,0.00011,0.01219,-0.00076,0.01562,-0.00065,0.01339,0.85998,0,0.00516,-0.00046,-0.11627,0.46015,0.00133,0.00060,-0.00074,0
0.0683,-0.53230,0.02278,0.00381,-0.00027,-0.01572,0.00078,1.57406,-0.00259,0.00011,0.01208,-0.00076,0.01440,-0.00065,0.01343,0.86000,0,0.00516,-0.00046,-0.11627,0.46015,0.00133,0.00060,-0.00074,0
0.0703,-0.53230,0.02278,0.00378,-0.00027,-0.01468,0.00078,1.57406,-0.00267,0.00011,0.01198,-0.00075,0.01306,-0.00064,0.01345,0.85999,0,0.00516,-0.00046,-0.11627,0.46015,0.00133,0.00060,-0.00074,0
0.0723,-0.53230,0.02278,0.00375,-0.00027,-0.01353,0.00077,1.57406,-0.00275,0.00012,0.01188,-0.00074,0.01158,-0.00063,0.01346,0.86001,0,0.00516,-0.00046,-0.11627,0.46015,0.00133,0.00060,-0.00074,0
0.0743,-0.53230,0.02278,0.00373,-0.00026,-0.01226,0.00077,1.57406,-0.00282,0.00012,0.01180,-0.00074,0.00998,-0.00062,0.01348,0.85999,0,0.00516,-0.00046,-0.11627,0.46015,0.00133,0.00060,-0.00074,0
0.0763,-0.53230,0.02278,0.00371,-0.00026,-0.01087,0.00077,1.57406,-0.00290,0.00012,0.01172,-0.00073,0.00851,-0.00061,0.01354,0.86002,0,0.00516,-0.00046,-0.11627,0.46015,0.00133,0.00060,-0.00074,0
0.0783,-0.53230,0.02278,0.00369,-0.00026,-0.00959,0.00076,1.57406,-0.00297,0.00013,0.01165,-0.00073,0.00717,-0.00060,0.01348,0.85999,0,0.00516,-0.00046,-0.11627,0.46015,0.00133,0.00060,-0.00074,0
0.0803,-0.53230,0.02278,0.00367,-0.00026,-0.00844,0.00076,1.57406,-0.00305,0.00013,0.01159,-0.00072,0.00595,-0.00060,0.01354,0.85999,0,0.00516,-0.00046,-0.11627,0.46015,0.00133,0.00060,-0.00074,0
0.0823,-0.53230,0.02278,0.00365,-0.00026,-0.00740,0.00076,1.57406,-0.00313,0.00013,0.01154,-0.00072,0.00486,-0.00059,0.01353,0.85998,0,0.00516,-0.00046,-0.11627,0.46015,0.00133,0.00060,-0.00074,0
0.0843,-0.53230,0.02278,0.00364,-0.00026,-0.00647,0.00076,1.57406,-0.00320,0.00013,0.01149,-0.00071,0.00390,-0.00058,0.01352,0.86001,0,0.00516,-0.00046,-0.11627,0.46015,0.00133,0.00060,-0.00074,0
0.0863,-0.53230,0.02278,0.00363,-0.00026,-0.00567,0.00075,1.57406,-0.00328,0.00014,0.01145,-0.00071,0.00307,-0.00057,0.01350,0.85998,0,0.00516,-0.00046,-0.11627,0.46015,0.00133,0.00060,-0.00074,0
0.0883,-0.53230,0.02278,0.00361,-0.00025,-0.00497,0.00075,1.57406,-0.00335,0.00014,0.01141,-0.00070,0.00237,-0.00056,0.01357,0.85998,0,0.00516,-0.00046,-0.11627,0.46015,0.00133,0.00060,-0.00074,0
0.0903,-0.53230,0.02278,0.00361,-0.00025,-0.00440,0.00075,1.57406,-0.00343,0.00014,0.01138,-0.00070,0.00179,-0.00055,0.01356,0.86002,0,0.00516,-0.00046,-0.11627,0.46015,0.00133,0.00060,-0.00074,0
0.0923,-0.53230,0.02278,0.00360,-0.00025,-0.00394,0.00074,1.57406,-0.00351,0.00015,0.01135,-0.00069,0.00134,-0.00055,0.01355,0.85999,0,0.00516,-0.00046,-0.11627,0.46015,0.00133,0.00060,-0.00074,0
0.0943,-0.53230,0.02278,0.00359,-0.00025,-0.00359,0.00074,1.57406,-0.00358,0.00015,0.01132,-0.00069,0.00102,-0.00054,0.01362,0.86000,0,0.00516,-0.00046,-0.11627,0.46015,0.00133,0.00060,-0.00074,0
0.0963,-0.53230,0.02278,0.00358,-0.00025,-0.00337,0.00074,1.57406,-0.00366,0.00015,0.01130,-0.00068,0.00083,-0.00053,0.01361,0.85999,0,0.00516,-0.00046,-0.11627,0.46015,0.00133,0.00060,-0.00074,0
0.0983,-0.53230,0.02278,0.00358,-0.00025,-0.00326,0.00073,1.57406,-0.00374,0.00016,0.01127,-0.00068,0.00077,-0.00052,0.01360,0.85999,0,0.00516,-0.00046,-0.11627,0.46015,0.00133,0.00060,-0.00074,0
0.1003,-0.53316,0.02362,0.00647,-0.00137,0.02532,-0.01017,1.57209,-0.00381,0.00016,0.02048,-0.00411,0.00083,-0.00064,0.01356,0.86001,0,0.00575,-0.00097,-0.11541,0.45983,0.00022,0.00065,0.00571,0
0.1023,-0.53316,0.02362,0.00652,-0.00139,0.02515,-0.01003,1.57209,-0.00389,0.00016,0.02064,-0.00418,0.00102,-0.00089,0.01357,0.86000,0,0.00575,-0.00097,-0.11541,0.45983,0.00022,0.00065,0.00571,0
0.1043,-0.53316,0.02362,0.00657,-0.00141,0.02485,-0.00978,1.57209,-0.00396,0.00017,0.02080,-0.00424,0.00134,-0.00127,0.01358,0.85998,0,0.00575,-0.00097,-0.11541,0.45983,0.00022,0.00065,0.00571,0
