t,ex,ey,th_x,th_y,thd_x,thd_y,yaw,vref_x,vref_y,vfb_x,vfb_y,vcmd_x,vcmd_y,tcp_x,tcp_y,dans_cible,th_brut_x,th_brut_y,hx,hy,hdx,hdy,hdyaw,hbouge
0.0000,-0.51955,-0.01720,-0.00790,-0.00401,0.00000,0.00000,0.69933,-0.00000,-0.00000,-0.03623,-0.01840,-0.00013,-0.00013,0.00993,0.86220,0,-0.00790,-0.00401,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0020,-0.51955,-0.01720,-0.00790,-0.00401,0.00026,0.00019,0.69933,-0.00008,-0.00000,-0.03623,-0.01840,-0.00038,-0.00038,0.00999,0.86219,0,-0.00790,-0.00401,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0040,-0.51955,-0.01720,-0.00790,-0.00401,0.00063,0.00049,0.69933,-0.00015,-0.00001,-0.03622,-0.01839,-0.00077,-0.00077,0.00993,0.86218,0,-0.00790,-0.00401,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0060,-0.51955,-0.01720,-0.00790,-0.00401,0.00112,0.00091,0.69933,-0.00023,-0.00001,-0.03622,-0.01839,-0.00128,-0.00128,0.00996,0.86218,0,-0.00790,-0.00401,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0080,-0.51955,-0.01720,-0.00790,-0.00401,0.00173,0.00145,0.69933,-0.00031,-0.00001,-0.03620,-0.01837,-0.00192,-0.00192,0.00999,0.86218,0,-0.00790,-0.00401,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0101,-0.51955,-0.01720,-0.00789,-0.00400,0.00245,0.00210,0.69933,-0.00038,-0.00001,-0.03618,-0.01836,-0.00269,-0.00269,0.00994,0.86219,0,-0.00790,-0.00401,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0121,-0.51955,-0.01720,-0.00789,-0.00400,0.00329,0.00287,0.69933,-0.00046,-0.00002,-0.03616,-0.01834,-0.00358,-0.00358,0.00995,0.86216,0,-0.00790,-0.00401,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0141,-0.51955,-0.01720,-0.00788,-0.00399,0.00424,0.00376,0.69933,-0.00054,-0.00002,-0.03612,-0.01831,-0.00461,-0.00461,0.00998,0.86215,0,-0.00790,-0.00401,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0161,-0.51955,-0.01720,-0.00787,-0.00398,0.00532,0.00476,0.69933,-0.00061,-0.00002,-0.03608,-0.01827,-0.00576,-0.00576,0.00995,0.86217,0,-0.00790,-0.00401,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0181,-0.51955,-0.01720,-0.00786,-0.00397,0.00650,0.00588,0.69933,-0.00069,-0.00002,-0.03603,-0.01822,-0.00704,-0.00704,0.00995,0.86215,0,-0.00790,-0.00401,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0201,-0.51955,-0.01720,-0.00784,-0.00396,0.00781,0.00711,0.69933,-0.00076,-0.00003,-0.03596,-0.01816,-0.00845,-0.00845,0.00988,0.86215,0,-0.00790,-0.00401,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0221,-0.51955,-0.01720,-0.00783,-0.00395,0.00923,0.00846,0.69933,-0.00084,-0.00003,-0.03588,-0.01809,-0.00998,-0.00998,0.00991,0.86215,0,-0.00790,-0.00401,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0241,-0.51955,-0.01720,-0.00781,-0.00393,0.01076,0.00993,0.69933,-0.00092,-0.00003,-0.03579,-0.01800,-0.01158,-0.01158,0.00985,0.86212,0,-0.00790,-0.00401,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0261,-0.51955,-0.01720,-0.00778,-0.00391,0.01235,0.01145,0.69933,-0.00099,-0.00003,-0.03569,-0.01790,-0.01318,-0.01318,0.00983,0.86208,0,-0.00790,-0.00401,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0281,-0.51955,-0.01720,-0.00776,-0.00388,0.01395,0.01298,0.69933,-0.00107,-0.00004,-0.03557,-0.01779,-0.01478,-0.01478,0.00977,0.86206,0,-0.00790,-0.00401,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0301,-0.51955,-0.01720,-0.00773,-0.00385,0.01554,0.01450,0.69933,-0.00114,-0.00004,-0.03543,-0.01767,-0.01638,-0.01638,0.00980,0.86201,0,-0.00790,-0.00401,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0321,-0.51955,-0.01720,-0.00770,-0.00382,0.01713,0.01602,0.69933,-0.00122,-0.00004,-0.03528,-0.01753,-0.01798,-0.01786,0.00974,0.86201,0,-0.00790,-0.00401,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0341,-0.51955,-0.01720,-0.00766,-0.00379,0.01872,0.01743,0.69933,-0.00130,-0.00004,-0.03512,-0.01737,-0.01958,-0.01920,0.00971,0.86198,0,-0.00790,-0.00401,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0361,-0.51955,-0.01720,-0.00762,-0.00375,0.02031,0.01872,0.69933,-0.00137,-0.00005,-0.03494,-0.01721,-0.02118,-0.02042,0.00966,0.86197,0,-0.00790,-0.00401,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0381,-0.51955,-0.01720,-0.00758,-0.00372,0.02190,0.01989,0.69933,-0.00145,-0.00005,-0.03475,-0.01703,-0.02278,-0.02150,0.00968,0.86195,0,-0.00790,-0.00401,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0401,-0.51955,-0.01720,-0.00753,-0.00367,0.02349,0.02094,0.69933,-0.00152,-0.00005,-0.03454,-0.01684,-0.02438,-0.02246,0.00956,0.86187,0,-0.00790,-0.00401,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0421,-0.51955,-0.01720,-0.00748,-0.00363,0.02508,0.02188,0.69933,-0.00160,-0.00005,-0.03432,-0.01665,-0.02598,-0.02330,0.00958,0.86186,0,-0.00790,-0.00401,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0441,-0.51955,-0.01720,-0.00743,-0.00359,0.02667,0.02270,0.69933,-0.00168,-0.00006,-0.03408,-0.01644,-0.02758,-0.02400,0.00955,0.86184,0,-0.00790,-0.00401,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0461,-0.51955,-0.01720,-0.00738,-0.00354,0.02825,0.02340,0.69933,-0.00175,-0.00006,-0.03383,-0.01623,-0.02918,-0.02458,0.00949,0.86180,0,-0.00790,-0.00401,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0481,-0.51955,-0.01720,-0.00732,-0.00349,0.02984,0.02399,0.69933,-0.00183,-0.00006,-0.03357,-0.01601,-0.03078,-0.02502,0.00945,0.86174,0,-0.00790,-0.00401,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0501,-0.51955,-0.01720,-0.00726,-0.00344,0.03142,0.02446,0.69933,-0.00190,-0.00006,-0.03329,-0.01579,-0.03238,-0.02534,0.00940,0.86168,0,-0.00790,-0.00401,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0521,-0.51955,-0.01720,-0.00719,-0.00340,0.03300,0.02481,0.69933,-0.00198,-0.00007,-0.03299,-0.01557,-0.03398,-0.02554,0.00934,0.86168,0,-0.00790,-0.00401,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0541,-0.51955,-0.01720,-0.00713,-0.00335,0.03458,0.02504,0.69933,-0.00206,-0.00007,-0.03269,-0.01534,-0.03546,-0.02560,0.00929,0.86161,0,-0.00790,-0.00401,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0561,-0.51955,-0.01720,-0.00706,-0.00330,0.03605,0.02516,0.69933,-0.00213,-0.00007,-0.03236,-0.01511,-0.03680,-0.02554,0.00926,0.86157,0,-0.00790,-0.00401,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0581,-0.51955,-0.01720,-0.00698,-0.00325,0.03739,0.02516,0.69933,-0.00221,-0.00007,-0.03203,-0.01488,-0.03802,-0.02534,0.00923,0.86153,0,-0.00790,-0.00401,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0601,-0.51955,-0.01720,-0.00691,-0.00320,0.03862,0.02504,0.69933,-0.00228,-0.00008,-0.03168,-0.01465,-0.03910,-0.02502,0.00914,0.86148,0,-0.00790,-0.00401,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0621,-0.51955,-0.01720,-0.00683,-0.00315,0.03973,0.02481,0.69933,-0.00236,-0.00008,-0.03132,-0.01442,-0.04006,-0.02458,0.00911,0.86145,0,-0.00790,-0.00401,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0641,-0.51955,-0.01720,-0.00675,-0.00310,0.04072,0.02445,0.69933,-0.00244,-0.00008,-0.03096,-0.01419,-0.04090,-0.02400,0.00901,0.86138,0,-0.00790,-0.00401,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0661,-0.51863,-0.02062,-0.00747,0.00314,0.03050,0.11507,0.71143,-0.00251,-0.00008,-0.03401,0.01335,-0.04160,-0.02330,0.00887,0.86130,0,-0.00814,-0.00137,-0.10540,0.47222,-0.00418,-0.00049,-0.00230,0
0.0681,-0.51863,-0.02062,-0.00741,0.00337,0.03127,0.11437,0.71143,-0.00259,-0.00009,-0.03373,0.01440,-0.04218,-0.02246,0.00887,0.86130,0,-0.00814,-0.00137,-0.10540,0.47222,-0.00418,-0.00049,-0.00230,0
0.0702,-0.51863,-0.02062,-0.00735,0.00359,0.03193,0.11354,0.71143,-0.00267,-0.00009,-0.03344,0.01545,-0.04262,-0.02150,0.00879,0.86126,0,-0.00814,-0.00137,-0.10540,0.47222,-0.00418,-0.00049,-0.00230,0
0.0722,-0.51863,-0.02062,-0.00728,0.00382,0.03246,0.11260,0.71143,-0.00274,-0.00009,-0.03314,0.01648,-0.04294,-0.02042,0.00875,0.86119,0,-0.00814,-0.00137,-0.10540,0.47222,-0.00418,-0.00049,-0.00230,0
0.0742,-0.51863,-0.02062,-0.00722,0.00404,0.03288,0.11154,0.71143,-0.00282,-0.00009,-0.03285,0.01751,-0.04314,-0.01920,0.00864,0.86116,0,-0.00814,-0.00137,-0.10540,0.47222,-0.00418,-0.00049,-0.00230,0
0.0762,-0.51863,-0.02062,-0.00715,0.00427,0.03319,0.11036,0.71143,-0.00290,-0.00010,-0.03255,0.01853,-0.04320,-0.01786,0.00852,0.86111,0,-0.00814,-0.00137,-0.10540,0.47222,-0.00418,-0.00049,-0.00230,0
0.0782,-0.51863,-0.02062,-0.00709,0.00449,0.03337,0.10905,0.71143,-0.00297,-0.00010,-0.03224,0.01953,-0.04314,-0.01638,0.00848,0.86108,0,-0.00814,-0.00137,-0.10540,0.47222,-0.00418,-0.00049,-0.00230,0
0.0802,-0.51863,-0.02062,-0.00702,0.00470,0.03344,0.10763,0.71143,-0.00305,-0.00010,-0.03194,0.02053,-0.04294,-0.01478,0.00838,0.86101,0,-0.00814,-0.00137,-0.10540,0.47222,-0.00418,-0.00049,-0.00230,0
