t,ex,ey,th_x,th_y,thd_x,thd_y,yaw,vref_x,vref_y,vfb_x,vfb_y,vcmd_x,vcmd_y,tcp_x,tcp_y,dans_cible,th_brut_x,th_brut_y,hx,hy,hdx,hdy,hdyaw,hbouge
0.0001,-0.53561,-0.02293,0.00220,-0.00268,0.00000,0.00000,-0.10583,-0.00000,-0.00000,0.01008,-0.01228,0.00013,-0.00013,0.01002,0.86216,0,0.00220,-0.00268,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0020,-0.53561,-0.02293,0.00220,-0.00268,-0.00016,0.00016,-0.10583,-0.00008,-0.00000,0.01008,-0.01228,0.00038,-0.00038,0.01002,0.86216,0,0.00220,-0.00268,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0041,-0.53561,-0.02293,0.00220,-0.00268,-0.00043,0.00044,-0.10583,-0.00015,-0.00001,0.01007,-0.01228,0.00077,-0.00077,0.01000,0.86216,0,0.00220,-0.00268,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0060,-0.53561,-0.02293,0.00220,-0.00268,-0.00082,0.00084,-0.10583,-0.00023,-0.00001,0.01007,-0.01227,0.00128,-0.00128,0.01003,0.86214,0,0.00220,-0.00268,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0081,-0.53561,-0.02293,0.00219,-0.00267,-0.00132,0.00135,-0.10583,-0.00031,-0.00001,0.01006,-0.01226,0.00192,-0.00192,0.00997,0.86217,0,0.00220,-0.00268,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0101,-0.53561,-0.02293,0.00219,-0.00267,-0.00194,0.00198,-0.10583,-0.00038,-0.00002,0.01004,-0.01225,0.00269,-0.00269,0.01004,0.86216,0,0.00220,-0.00268,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0121,-0.53561,-0.02293,0.00219,-0.00267,-0.00268,0.00273,-0.10583,-0.00046,-0.00002,0.01002,-0.01223,0.00358,-0.00358,0.01004,0.86216,0,0.00220,-0.00268,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0141,-0.53561,-0.02293,0.00218,-0.00266,-0.00353,0.00359,-0.10583,-0.00053,-0.00002,0.00999,-0.01220,0.00461,-0.00461,0.01002,0.86214,0,0.00220,-0.00268,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0161,-0.53561,-0.02293,0.00217,-0.00265,-0.00450,0.00457,-0.10583,-0.00061,-0.00003,0.00996,-0.01216,0.00576,-0.00576,0.01008,0.86213,0,0.00220,-0.00268,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0181,-0.53561,-0.02293,0.00216,-0.00264,-0.00559,0.00566,-0.10583,-0.00069,-0.00003,0.00991,-0.01211,0.00704,-0.00704,0.01003,0.86214,0,0.00220,-0.00268,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0201,-0.53561,-0.02293,0.00215,-0.00263,-0.00679,0.00687,-0.10583,-0.00076,-0.00003,0.00985,-0.01205,0.00845,-0.00845,0.01005,0.86214,0,0.00220,-0.00268,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0221,-0.53561,-0.02293,0.00213,-0.00261,-0.00811,0.00820,-0.10583,-0.00084,-0.00004,0.00978,-0.01199,0.00973,-0.00998,0.01005,0.86215,0,0.00220,-0.00268,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0241,-0.53561,-0.02293,0.00212,-0.00260,-0.00931,0.00964,-0.10583,-0.00091,-0.00004,0.00970,-0.01190,0.01088,-0.01158,0.01013,0.86207,0,0.00220,-0.00268,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0261,-0.53561,-0.02293,0.00210,-0.00258,-0.01039,0.01114,-0.10583,-0.00099,-0.00004,0.00961,-0.01181,0.01190,-0.01306,0.01013,0.86207,0,0.00220,-0.00268,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0281,-0.53561,-0.02293,0.00208,-0.00255,-0.01136,0.01253,-0.10583,-0.00107,-0.00005,0.00951,-0.01170,0.01280,-0.01440,0.01016,0.86205,0,0.00220,-0.00268,0.00000,0.00000,0.00000,0.00000,0.00000,0
0.0301,-0.53657,-0.02285,0.00250,-0.00247,-0.01152,0.01255,-0.10564,-0.00114,-0.00005,0.01119,-0.01129,0.01357,-0.01562,0.01027,0.86203,0,0.00306,-0.00251,-0.10843,0.47157,-0.00559,-0.00163,0.00287,1
0.0321,-0.53657,-0.02285,0.00248,-0.00244,-0.01226,0.01370,-0.10564,-0.00122,-0.00005,0.01108,-0.01117,0.01421,-0.01670,0.01027,0.86203,0,0.00306,-0.00251,-0.10843,0.47157,-0.00559,-0.00163,0.00287,1
0.0341,-0.53657,-0.02285,0.00246,-0.00241,-0.01288,0.01473,-0.10564,-0.00130,-0.00006,0.01096,-0.01104,0.01472,-0.01766,0.01030,0.86198,0,0.00306,-0.00251,-0.10843,0.47157,-0.00559,-0.00163,0.00287,1
0.0361,-0.53657,-0.02285,0.00243,-0.00238,-0.01339,0.01565,-0.10564,-0.00137,-0.00006,0.01084,-0.01090,0.01510,-0.01850,0.01040,0.86195,0,0.00306,-0.00251,-0.10843,0.47157,-0.00559,-0.00163,0.00287,1
0.0381,-0.53657,-0.02285,0.00240,-0.00235,-0.01378,0.01645,-0.10564,-0.00145,-0.00006,0.01072,-0.01075,0.01536,-0.01920,0.01040,0.86195,0,0.00306,-0.00251,-0.10843,0.47157,-0.00559,-0.00163,0.00287,1
