t,phase,ex,ey,th_x,th_y,thd_x,thd_y,phi,pos_x,pos_y,dist_origine,vref_x,vref_y,vfb_x,vfb_y,vcmd_x,vcmd_y,tcp_x,tcp_y,d1_x,d1_y,d3_x,d3_y
0.0000,0,0.11444,0.11074,0.00107,-0.00069,0.00000,0.00000,1.90558,0.13647,-0.29380,0.32394,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.14827,0.92068,0.30000,-0.23334,-0.20000,-0.23334
0.0020,0,0.11444,0.11074,0.00107,-0.00069,-0.00002,0.00001,1.90558,0.13647,-0.29380,0.32394,0.00006,0.00006,0.00000,0.00000,0.00006,0.00006,0.14829,0.92069,0.30000,-0.23334,-0.20000,-0.23334
0.0040,0,0.11444,0.11074,0.00107,-0.00069,-0.00010,-0.00003,1.90558,0.13647,-0.29380,0.32394,0.00011,0.00011,0.00000,0.00000,0.00011,0.00011,0.14825,0.92069,0.30000,-0.23334,-0.20000,-0.23334
0.0063,0,0.11387,0.11064,0.00128,-0.00076,-0.00013,-0.00001,1.90342,0.13690,-0.29456,0.32481,0.00018,0.00017,0.00000,0.00000,0.00018,0.00017,0.14823,0.92071,0.30000,-0.23334,-0.20000,-0.23334
0.0083,0,0.11387,0.11064,0.00128,-0.00076,-0.00022,-0.00006,1.90342,0.13690,-0.29456,0.32481,0.00024,0.00023,0.00000,0.00000,0.00024,0.00023,0.14825,0.92073,0.30000,-0.23334,-0.20000,-0.23334
0.0103,0,0.11387,0.11064,0.00128,-0.00076,-0.00030,-0.00010,1.90342,0.13690,-0.29456,0.32481,0.00029,0.00028,0.00000,0.00000,0.00029,0.00028,0.14821,0.92070,0.30000,-0.23334,-0.20000,-0.23334
0.0123,0,0.11387,0.11064,0.00128,-0.00076,-0.00039,-0.00014,1.90342,0.13690,-0.29456,0.32481,0.00035,0.00034,0.00000,0.00000,0.00035,0.00034,0.14822,0.92071,0.30000,-0.23334,-0.20000,-0.23334
0.0143,0,0.11387,0.11064,0.00128,-0.00076,-0.00047,-0.00018,1.90342,0.13690,-0.29456,0.32481,0.00041,0.00039,0.00000,0.00000,0.00041,0.00039,0.14824,0.92069,0.30000,-0.23334,-0.20000,-0.23334
0.0163,0,0.11387,0.11064,0.00128,-0.00076,-0.00055,-0.00022,1.90342,0.13690,-0.29456,0.32481,0.00046,0.00045,0.00000,0.00000,0.00046,0.00045,0.14825,0.92069,0.30000,-0.23334,-0.20000,-0.23334
0.0183,0,0.11387,0.11064,0.00128,-0.00076,-0.00063,-0.00026,1.90342,0.13690,-0.29456,0.32481,0.00052,0.00050,0.00000,0.00000,0.00052,0.00050,0.14824,0.92069,0.30000,-0.23334,-0.20000,-0.23334
