t,phase,ex,ey,th_x,th_y,thd_x,thd_y,phi,pos_x,pos_y,dist_origine,vref_x,vref_y,vfb_x,vfb_y,vcmd_x,vcmd_y,tcp_x,tcp_y,d1_x,d1_y,d3_x,d3_y
0.0000,0,0.11411,0.10373,0.00066,0.00166,0.00000,0.00000,1.89897,0.14063,-0.29135,0.32351,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.14829,0.92068,0.30000,-0.23399,-0.20000,-0.23399
0.0020,0,0.11411,0.10373,0.00066,0.00166,-0.00001,-0.00003,1.89897,0.14063,-0.29135,0.32351,0.00006,0.00005,0.00000,0.00000,0.00006,0.00005,0.14824,0.92070,0.30000,-0.23399,-0.20000,-0.23399
0.0040,0,0.11411,0.10373,0.00066,0.00166,-0.00008,-0.00012,1.89897,0.14063,-0.29135,0.32351,0.00011,0.00010,0.00000,0.00000,0.00011,0.00010,0.14828,0.92070,0.30000,-0.23399,-0.20000,-0.23399
0.0060,0,0.11411,0.10373,0.00066,0.00166,-0.00015,-0.00020,1.89897,0.14063,-0.29135,0.32351,0.00017,0.00016,0.00000,0.00000,0.00017,0.00016,0.14827,0.92069,0.30000,-0.23399,-0.20000,-0.23399
0.0080,0,0.11411,0.10373,0.00066,0.00166,-0.00022,-0.00029,1.89897,0.14063,-0.29135,0.32351,0.00023,0.00021,0.00000,0.00000,0.00023,0.00021,0.14828,0.92072,0.30000,-0.23399,-0.20000,-0.23399
0.0100,0,0.11411,0.10373,0.00066,0.00166,-0.00029,-0.00037,1.89897,0.14063,-0.29135,0.32351,0.00028,0.00026,0.00000,0.00000,0.00028,0.00026,0.14825,0.92070,0.30000,-0.23399,-0.20000,-0.23399
0.0120,0,0.11411,0.10373,0.00066,0.00165,-0.00036,-0.00045,1.89897,0.14063,-0.29135,0.32351,0.00034,0.00031,0.00000,0.00000,0.00034,0.00031,0.14824,0.92071,0.30000,-0.23399,-0.20000,-0.23399
0.0140,0,0.11428,0.10414,0.00052,0.00146,-0.00036,-0.00046,1.89666,0.14029,-0.29131,0.32333,0.00040,0.00036,0.00000,0.00000,0.00040,0.00036,0.14825,0.92070,0.30000,-0.23399,-0.20000,-0.23399
0.0160,0,0.11428,0.10414,0.00051,0.00146,-0.00042,-0.00054,1.89666,0.14029,-0.29131,0.32333,0.00045,0.00041,0.00000,0.00000,0.00045,0.00041,0.14829,0.92070,0.30000,-0.23399,-0.20000,-0.23399
0.0180,0,0.11428,0.10414,0.00051,0.00145,-0.00049,-0.00062,1.89666,0.14029,-0.29131,0.32333,0.00051,0.00047,0.00000,0.00000,0.00051,0.00047,0.14825,0.92070,0.30000,-0.23399,-0.20000,-0.23399
0.0201,0,0.11428,0.10414,0.00051,0.00145,-0.00056,-0.00070,1.89666,0.14029,-0.29131,0.32333,0.00057,0.00052,0.00000,0.00000,0.00057,0.00052,0.14829,0.92069,0.30000,-0.23399,-0.20000,-0.23399
0.0221,0,0.11428,0.10414,0.00051,0.00145,-0.00062,-0.00078,1.89666,0.14029,-0.29131,0.32333,0.00063,0.00057,0.00000,0.00000,0.00063,0.00057,0.14826,0.92072,0.30000,-0.23399,-0.20000,-0.23399
0.0241,0,0.11428,0.10414,0.00051,0.00145,-0.00069,-0.00086,1.89666,0.14029,-0.29131,0.32333,0.00068,0.00062,0.00000,0.00000,0.00068,0.00062,0.14825,0.92071,0.30000,-0.23399,-0.20000,-0.23399
0.0261,0,0.11428,0.10414,0.00051,0.00145,-0.00076,-0.00094,1.89666,0.14029,-0.29131,0.32333,0.00074,0.00067,0.00000,0.00000,0.00074,0.00067,0.14826,0.92072,0.30000,-0.23399,-0.20000,-0.23399
0.0281,0,0.11428,0.10414,0.00051,0.00145,-0.00082,-0.00102,1.89666,0.14029,-0.29131,0.32333,0.00080,0.00072,0.00000,0.00000,0.00080,0.00072,0.14828,0.92071,0.30000,-0.23399,-0.20000,-0.23399
0.0301,0,0.11428,0.10414,0.00051,0.00144,-0.00089,-0.00110,1.89666,0.14029,-0.29131,0.32333,0.00085,0.00078,0.00000,0.00000,0.00085,0.00078,0.14830,0.92073,0.30000,-0.23399,-0.20000,-0.23399
0.0321,0,0.11428,0.10414,0.00050,0.00144,-0.00096,-0.00118,1.89666,0.14029,-0.29131,0.32333,0.00091,0.00083,0.00000,0.00000,0.00091,0.00083,0.14829,0.92070,0.30000,-0.23399,-0.20000,-0.23399
0.0341,0,0.11428,0.10414,0.00050,0.00144,-0.00102,-0.00126,1.89666,0.14029,-0.29131,0.32333,0.00097,0.00088,0.00000,0.00000,0.00097,0.00088,0.14829,0.92069,0.30000,-0.23399,-0.20000,-0.23399
0.0361,0,0.11428,0.10414,0.00050,0.00144,-0.00109,-0.00134,1.89666,0.14029,-0.29131,0.32333,0.00102,0.00093,0.00000,0.00000,0.00102,0.00093,0.14830,0.92070,0.30000,-0.23399,-0.20000,-0.23399
0.0381,0,0.11428,0.10414,0.00050,0.00143,-0.00116,-0.00142,1.89666,0.14029,-0.29131,0.32333,0.00108,0.00098,0.00000,0.00000,0.00108,0.00098,0.14829,0.92069,0.30000,-0.23399,-0.20000,-0.23399
0.0401,0,0.11428,0.10414,0.00049,0.00143,-0.00122,-0.00150,1.89666,0.14029,-0.29131,0.32333,0.00114,0.00103,0.00000,0.00000,0.00114,0.00103,0.14824,0.92070,0.30000,-0.23399,-0.20000,-0.23399
0.0421,0,0.11428,0.10414,0.00049,0.00143,-0.00129,-0.00158,1.89666,0.14029,-0.29131,0.32333,0.00119,0.00109,0.00000,0.00000,0.00119,0.00109,0.14829,0.92072,0.30000,-0.23399,-0.20000,-0.23399
0.0441,0,0.11428,0.10414,0.00049,0.00143,-0.00136,-0.00166,1.89666,0.14029,-0.29131,0.32333,0.00125,0.00114,0.00000,0.00000,0.00125,0.00114,0.14826,0.92074,0.30000,-0.23399,-0.20000,-0.23399
0.0461,0,0.11428,0.10414,0.00049,0.00142,-0.00142,-0.00174,1.89666,0.14029,-0.29131,0.32333,0.00131,0.00119,0.00000,0.00000,0.00131,0.00119,0.14827,0.92072,0.30000,-0.23399,-0.20000,-0.23399
0.0481,0,0.11428,0.10414,0.00048,0.00142,-0.00149,-0.00182,1.89666,0.14029,-0.29131,0.32333,0.00136,0.00124,0.00000,0.00000,0.00136,0.00124,0.14829,0.92072,0.30000,-0.23399,-0.20000,-0.23399
0.0501,0,0.11428,0.10414,0.00048,0.00141,-0.00156,-0.00190,1.89666,0.14029,-0.29131,0.32333,0.00142,0.00129,0.00000,0.00000,0.00142,0.00129,0.14834,0.92071,0.30000,-0.23399,-0.20000,-0.23399
0.0521,0,0.11428,0.10414,0.00048,0.00141,-0.00162,-0.00198,1.89666,0.14029,-0.29131,0.32333,0.00148,0.00134,0.00000,0.00000,0.00148,0.00134,0.14828,0.92073,0.30000,-0.23399,-0.20000,-0.23399
0.0541,0,0.11428,0.10414,0.00047,0.00141,-0.00169,-0.00206,1.89666,0.14029,-0.29131,0.32333,0.00153,0.00140,0.00000,0.00000,0.00153,0.00140,0.14827,0.92070,0.30000,-0.23399,-0.20000,-0.23399
