t,phase,ex,ey,th_x,th_y,thd_x,thd_y,phi,pos_x,pos_y,dist_origine,vref_x,vref_y,vfb_x,vfb_y,vcmd_x,vcmd_y,tcp_x,tcp_y,d1_x,d1_y,d3_x,d3_y
0.0000,0,0.11577,0.10952,-0.00174,0.00340,0.00000,0.00000,2.01658,0.13572,-0.28194,0.31291,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.14836,0.92066,0.30000,-0.22068,-0.20000,-0.22068
0.0020,0,0.11577,0.10952,-0.00174,0.00340,0.00003,-0.00007,2.01658,0.13572,-0.28194,0.31291,0.00022,0.00021,0.00000,0.00000,0.00013,0.00013,0.14832,0.92070,0.30000,-0.22068,-0.20000,-0.22068
0.0040,0,0.11577,0.10952,-0.00174,0.00340,-0.00007,-0.00027,2.01658,0.13572,-0.28194,0.31291,0.00044,0.00041,0.00000,0.00000,0.00039,0.00039,0.14835,0.92067,0.30000,-0.22068,-0.20000,-0.22068
0.0060,0,0.11577,0.10952,-0.00174,0.00340,-0.00029,-0.00059,2.01658,0.13572,-0.28194,0.31291,0.00066,0.00062,0.00000,0.00000,0.00066,0.00062,0.14830,0.92070,0.30000,-0.22068,-0.20000,-0.22068
0.0080,0,0.11577,0.10952,-0.00174,0.00340,-0.00052,-0.00089,2.01658,0.13572,-0.28194,0.31291,0.00087,0.00083,0.00000,0.00000,0.00087,0.00083,0.14837,0.92069,0.30000,-0.22068,-0.20000,-0.22068
0.0100,0,0.11672,0.11121,-0.00219,0.00298,-0.00044,-0.00091,2.01920,0.13385,-0.28278,0.31286,0.00109,0.00103,0.00000,0.00000,0.00109,0.00103,0.14834,0.92070,0.30000,-0.22068,-0.20000,-0.22068
0.0120,0,0.11672,0.11121,-0.00219,0.00297,-0.00062,-0.00118,2.01920,0.13385,-0.28278,0.31286,0.00131,0.00124,0.00000,0.00000,0.00131,0.00124,0.14834,0.92070,0.30000,-0.22068,-0.20000,-0.22068
0.0140,0,0.11672,0.11121,-0.00219,0.00297,-0.00079,-0.00144,2.01920,0.13385,-0.28278,0.31286,0.00153,0.00144,0.00000,0.00000,0.00153,0.00144,0.14833,0.92071,0.30000,-0.22068,-0.20000,-0.22068
0.0160,0,0.11672,0.11121,-0.00219,0.00297,-0.00096,-0.00170,2.01920,0.13385,-0.28278,0.31286,0.00174,0.00165,0.00000,0.00000,0.00174,0.00165,0.14834,0.92071,0.30000,-0.22068,-0.20000,-0.22068
0.0180,0,0.11672,0.11121,-0.00219,0.00296,-0.00114,-0.00197,2.01920,0.13385,-0.28278,0.31286,0.00196,0.00186,0.00000,0.00000,0.00196,0.00186,0.14833,0.92072,0.30000,-0.22068,-0.20000,-0.22068
0.0201,0,0.11672,0.11121,-0.00219,0.00296,-0.00131,-0.00223,2.01920,0.13385,-0.28278,0.31286,0.00218,0.00206,0.00000,0.00000,0.00218,0.00206,0.14833,0.92071,0.30000,-0.22068,-0.20000,-0.22068
0.0221,0,0.11672,0.11121,-0.00220,0.00296,-0.00149,-0.00250,2.01920,0.13385,-0.28278,0.31286,0.00240,0.00227,0.00000,0.00000,0.00240,0.00227,0.14836,0.92071,0.30000,-0.22068,-0.20000,-0.22068
0.0241,0,0.11672,0.11121,-0.00220,0.00295,-0.00166,-0.00276,2.01920,0.13385,-0.28278,0.31286,0.00261,0.00247,0.00000,0.00000,0.00261,0.00247,0.14841,0.92068,0.30000,-0.22068,-0.20000,-0.22068
0.0261,0,0.11672,0.11121,-0.00220,0.00294,-0.00184,-0.00302,2.01920,0.13385,-0.28278,0.31286,0.00283,0.00268,0.00000,0.00000,0.00283,0.00268,0.14836,0.92070,0.30000,-0.22068,-0.20000,-0.22068
0.0281,0,0.11672,0.11121,-0.00221,0.00294,-0.00201,-0.00329,2.01920,0.13385,-0.28278,0.31286,0.00305,0.00288,0.00000,0.00000,0.00305,0.00288,0.14830,0.92074,0.30000,-0.22068,-0.20000,-0.22068
0.0301,0,0.11672,0.11121,-0.00221,0.00293,-0.00218,-0.00355,2.01920,0.13385,-0.28278,0.31286,0.00327,0.00309,0.00000,0.00000,0.00327,0.00309,0.14836,0.92073,0.30000,-0.22068,-0.20000,-0.22068
0.0321,0,0.11672,0.11121,-0.00222,0.00292,-0.00236,-0.00381,2.01920,0.13385,-0.28278,0.31286,0.00348,0.00329,0.00000,0.00000,0.00348,0.00329,0.14835,0.92073,0.30000,-0.22068,-0.20000,-0.22068
0.0341,0,0.11672,0.11121,-0.00222,0.00292,-0.00253,-0.00408,2.01920,0.13385,-0.28278,0.31286,0.00370,0.00350,0.00000,0.00000,0.00370,0.00350,0.14836,0.92070,0.30000,-0.22068,-0.20000,-0.22068
0.0361,0,0.11672,0.11121,-0.00223,0.00291,-0.00271,-0.00434,2.01920,0.13385,-0.28278,0.31286,0.00392,0.00371,0.00000,0.00000,0.00392,0.00371,0.14835,0.92074,0.30000,-0.22068,-0.20000,-0.22068
