t,phase,ex,ey,th_x,th_y,thd_x,thd_y,phi,pos_x,pos_y,dist_origine,vref_x,vref_y,vfb_x,vfb_y,vcmd_x,vcmd_y,tcp_x,tcp_y,d1_x,d1_y,d3_x,d3_y
0.0000,0,0.09430,0.08295,0.00869,0.00666,0.00000,0.00000,1.47599,0.16354,-0.29735,0.33935,0.00000,0.00000,0.06336,0.05389,0.00013,0.00013,0.12583,0.93791,0.30000,-0.26865,0.05000,-0.26865
0.0020,0,0.09430,0.08295,0.00869,0.00666,-0.00030,-0.00026,1.47599,0.16354,-0.29735,0.33935,0.00000,0.00000,0.06336,0.05389,0.00038,0.00038,0.12577,0.93792,0.30000,-0.26865,0.05000,-0.26865
0.0040,0,0.09430,0.08295,0.00869,0.00666,-0.00072,-0.00065,1.47599,0.16354,-0.29735,0.33935,0.00000,0.00000,0.06335,0.05389,0.00077,0.00077,0.12579,0.93792,0.30000,-0.26865,0.05000,-0.26865
0.0060,0,0.09430,0.08295,0.00869,0.00665,-0.00128,-0.00116,1.47599,0.16354,-0.29735,0.33935,0.00000,0.00000,0.06335,0.05388,0.00128,0.00128,0.12578,0.93792,0.30000,-0.26865,0.05000,-0.26865
0.0081,0,0.09430,0.08295,0.00868,0.00665,-0.00196,-0.00180,1.47599,0.16354,-0.29735,0.33935,0.00000,0.00000,0.06334,0.05388,0.00192,0.00192,0.12573,0.93792,0.30000,-0.26865,0.05000,-0.26865
0.0101,0,0.09430,0.08295,0.00868,0.00665,-0.00277,-0.00257,1.47599,0.16354,-0.29735,0.33935,0.00000,0.00000,0.06334,0.05387,0.00269,0.00269,0.12581,0.93792,0.30000,-0.26865,0.05000,-0.26865
0.0121,0,0.09430,0.08295,0.00867,0.00664,-0.00371,-0.00347,1.47599,0.16354,-0.29735,0.33935,0.00000,0.00000,0.06332,0.05386,0.00358,0.00358,0.12574,0.93791,0.30000,-0.26865,0.05000,-0.26865
0.0141,0,0.09430,0.08295,0.00866,0.00663,-0.00478,-0.00450,1.47599,0.16354,-0.29735,0.33935,0.00000,0.00000,0.06331,0.05384,0.00461,0.00461,0.12582,0.93794,0.30000,-0.26865,0.05000,-0.26865
0.0161,0,0.09430,0.08295,0.00865,0.00662,-0.00597,-0.00565,1.47599,0.16354,-0.29735,0.33935,0.00000,0.00000,0.06329,0.05383,0.00576,0.00576,0.12579,0.93791,0.30000,-0.26865,0.05000,-0.26865
0.0181,0,0.09430,0.08295,0.00864,0.00661,-0.00729,-0.00693,1.47599,0.16354,-0.29735,0.33935,0.00000,0.00000,0.06326,0.05380,0.00704,0.00704,0.12580,0.93795,0.30000,-0.26865,0.05000,-0.26865
