t,height,roll_deg,pitch_deg,yaw_deg,x_cam,y_cam,z_cam,marker_id
0.0313,0.5646,174.672,-3.044,-176.427,-0.10964,0.23304,0.5646,8
0.06692,0.56481,174.602,-2.956,-176.356,-0.10984,0.23302,0.56481,8
0.09997,0.5646,174.672,-3.044,-176.427,-0.10964,0.23304,0.5646,8
0.12976,0.5646,174.672,-3.044,-176.427,-0.10964,0.23304,0.5646,8
0.16777,0.56481,174.602,-2.956,-176.356,-0.10984,0.23302,0.56481,8
0.19929,0.5646,174.672,-3.044,-176.427,-0.10964,0.23304,0.5646,8
0.22979,0.5646,174.672,-3.044,-176.427,-0.10964,0.23304,0.5646,8
0.26771,0.5646,174.672,-3.044,-176.427,-0.10964,0.23304,0.5646,8
0.29988,0.56512,174.4,-2.874,-176.373,-0.10981,0.23305,0.56512,8
0.34027,0.5646,174.672,-3.044,-176.427,-0.10964,0.23304,0.5646,8
0.36674,0.56491,174.472,-2.962,-176.443,-0.10961,0.23307,0.56491,8
0.39842,0.56475,174.874,-3.053,-176.431,-0.10973,0.23315,0.56475,8
0.43838,0.56476,174.554,-3.079,-176.382,-0.10971,0.233,0.56476,8
0.46805,0.56481,174.602,-2.956,-176.356,-0.10984,0.23302,0.56481,8
0.50018,0.5646,174.672,-3.044,-176.427,-0.10964,0.23304,0.5646,8
0.5346,0.56514,174.467,-2.833,-176.327,-0.10972,0.23319,0.56514,8
0.56637,0.5646,174.672,-3.044,-176.427,-0.10964,0.23304,0.5646,8
0.59948,0.5646,174.672,-3.044,-176.427,-0.10964,0.23304,0.5646,8
0.63093,0.5646,174.672,-3.044,-176.427,-0.10964,0.23304,0.5646,8
0.66949,0.56491,174.472,-2.962,-176.443,-0.10961,0.23307,0.56491,8
0.69785,0.5646,174.672,-3.044,-176.427,-0.10964,0.23304,0.5646,8
0.73496,0.5646,174.672,-3.044,-176.427,-0.10964,0.23304,0.5646,8
0.76692,0.5646,174.672,-3.044,-176.427,-0.10964,0.23304,0.5646,8
0.80341,0.5646,174.672,-3.044,-176.427,-0.10964,0.23304,0.5646,8
0.83634,0.5646,174.672,-3.044,-176.427,-0.10964,0.23304,0.5646,8
0.86672,0.5646,174.672,-3.044,-176.427,-0.10964,0.23304,0.5646,8
0.90414,0.56428,175.016,-3.132,-176.487,-0.1096,0.233,0.56428,8
0.934,0.5646,174.672,-3.044,-176.427,-0.10964,0.23304,0.5646,8
0.96861,0.5646,174.672,-3.044,-176.427,-0.10964,0.23304,0.5646,8
1.00174,0.56514,174.467,-2.833,-176.327,-0.10972,0.23319,0.56514,8
1.0347,0.5646,174.672,-3.044,-176.427,-0.10964,0.23304,0.5646,8
1.06814,0.56529,174.349,-2.869,-176.283,-0.10979,0.23314,0.56529,8
1.1045,0.5646,174.672,-3.044,-176.427,-0.10964,0.23304,0.5646,8
1.13564,0.56475,174.874,-3.053,-176.431,-0.10973,0.23315,0.56475,8
1.16983,0.56476,174.554,-3.079,-176.382,-0.10971,0.233,0.56476,8
1.20332,0.5646,174.672,-3.044,-176.427,-0.10964,0.23304,0.5646,8
1.23614,0.5646,174.672,-3.044,-176.427,-0.10964,0.23304,0.5646,8
1.26606,0.5646,174.672,-3.044,-176.427,-0.10964,0.23304,0.5646,8
1.30345,0.56476,174.554,-3.079,-176.382,-0.10971,0.233,0.56476,8
1.33626,0.56491,174.472,-2.962,-176.443,-0.10961,0.23307,0.56491,8
1.37238,0.56476,174.554,-3.079,-176.382,-0.10971,0.233,0.56476,8
1.40231,0.5646,174.672,-3.044,-176.427,-0.10964,0.23304,0.5646,8
1.43558,0.56491,174.472,-2.962,-176.443,-0.10961,0.23307,0.56491,8
