t,height,roll_deg,pitch_deg,yaw_deg,x_cam,y_cam,z_cam,marker_id,height_relative_m,height_relative_mm
0.02523,0.56693,174.328,-3.37,-178.488,-0.10689,0.23763,0.56693,8,0.02971669,29.71669
0.06277,0.56693,174.328,-3.37,-178.488,-0.10689,0.23763,0.56693,8,0.02971669,29.71669
0.09574,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
0.12577,0.56731,174.37,-3.124,-178.56,-0.10673,0.23762,0.56731,8,0.02933669,29.33669
0.16264,0.56699,174.516,-3.35,-178.518,-0.10702,0.23776,0.56699,8,0.02965669,29.65669
0.19222,0.56715,174.399,-3.384,-178.474,-0.1071,0.23772,0.56715,8,0.02949669,29.49669
0.22755,0.56622,174.521,-3.549,-178.506,-0.1069,0.23771,0.56622,8,0.03042669,30.42669
0.26275,0.5663,174.581,-3.407,-178.587,-0.10669,0.23751,0.5663,8,0.03034669,30.34669
0.29452,0.56622,174.521,-3.549,-178.506,-0.1069,0.23771,0.56622,8,0.03042669,30.42669
0.33061,0.5665,174.012,-3.491,-178.471,-0.10684,0.23757,0.5665,8,0.03014669,30.14669
0.36039,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
0.39665,0.56659,174.251,-3.329,-178.527,-0.10672,0.23754,0.56659,8,0.03005669,30.05669
0.42436,0.5663,174.581,-3.407,-178.587,-0.10669,0.23751,0.5663,8,0.03034669,30.34669
0.46226,0.56674,174.134,-3.363,-178.483,-0.10679,0.2375,0.56674,8,0.02990669,29.90669
0.49354,0.56699,174.516,-3.35,-178.518,-0.10702,0.23776,0.56699,8,0.02965669,29.65669
0.53057,0.56629,174.268,-3.432,-178.537,-0.10666,0.23735,0.56629,8,0.03035669,30.35669
0.56249,0.56674,174.134,-3.363,-178.483,-0.10679,0.2375,0.56674,8,0.02990669,29.90669
0.59556,0.56699,174.516,-3.35,-178.518,-0.10702,0.23776,0.56699,8,0.02965669,29.65669
0.62975,0.56659,174.251,-3.329,-178.527,-0.10672,0.23754,0.56659,8,0.03005669,30.05669
0.66338,0.56693,174.328,-3.37,-178.488,-0.10689,0.23763,0.56693,8,0.02971669,29.71669
0.69334,0.56747,174.252,-3.159,-178.516,-0.1068,0.23758,0.56747,8,0.02917669,29.17669
0.73224,0.56636,174.326,-3.413,-178.599,-0.10651,0.23755,0.56636,8,0.03028669,30.28669
0.76010,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
0.79349,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
0.83012,0.56659,174.251,-3.329,-178.527,-0.10672,0.23754,0.56659,8,0.03005669,30.05669
0.86258,0.56629,174.268,-3.432,-178.537,-0.10666,0.23735,0.56629,8,0.03035669,30.35669
0.89541,0.56622,174.521,-3.549,-178.506,-0.1069,0.23771,0.56622,8,0.03042669,30.42669
0.93023,0.56681,174.321,-3.342,-178.513,-0.10693,0.23764,0.56681,8,0.02983669,29.83669
0.96256,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
0.99422,0.56731,174.37,-3.124,-178.56,-0.10673,0.23762,0.56731,8,0.02933669,29.33669
1.03375,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
1.06064,0.56715,174.399,-3.384,-178.474,-0.1071,0.23772,0.56715,8,0.02949669,29.49669
1.09868,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
1.12989,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
1.16554,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
1.19743,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
1.22911,0.56659,174.251,-3.329,-178.527,-0.10672,0.23754,0.56659,8,0.03005669,30.05669
1.26778,0.56693,174.328,-3.37,-178.488,-0.10689,0.23763,0.56693,8,0.02971669,29.71669
1.29626,0.56728,174.057,-3.153,-178.51,-0.1067,0.23746,0.56728,8,0.02936669,29.36669
1.33007,0.56654,174.521,-3.421,-178.605,-0.10661,0.23768,0.56654,8,0.03010669,30.10669
1.36853,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
1.39741,0.5663,174.581,-3.407,-178.587,-0.10669,0.23751,0.5663,8,0.03034669,30.34669
1.42882,0.56699,174.516,-3.35,-178.518,-0.10702,0.23776,0.56699,8,0.02965669,29.65669
