t,height,roll_deg,pitch_deg,yaw_deg,x_cam,y_cam,z_cam,marker_id,height_relative_m,height_relative_mm
0.03568,0.56681,174.321,-3.342,-178.513,-0.10693,0.23764,0.56681,8,0.02983669,29.83669
0.06568,0.5671,174.121,-3.261,-178.528,-0.10689,0.23765,0.5671,8,0.02954669,29.54669
0.09795,0.5663,174.581,-3.407,-178.587,-0.10669,0.23751,0.5663,8,0.03034669,30.34669
0.13688,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
0.16548,0.56635,174.456,-3.413,-178.567,-0.1068,0.23748,0.56635,8,0.03029669,30.29669
0.20317,0.56699,174.516,-3.35,-178.518,-0.10702,0.23776,0.56699,8,0.02965669,29.65669
0.23592,0.56731,174.37,-3.124,-178.56,-0.10673,0.23762,0.56731,8,0.02933669,29.33669
0.26718,0.56731,174.37,-3.124,-178.56,-0.10673,0.23762,0.56731,8,0.02933669,29.33669
0.29896,0.56728,174.057,-3.153,-178.51,-0.1067,0.23746,0.56728,8,0.02936669,29.36669
0.33392,0.56693,174.328,-3.37,-178.488,-0.10689,0.23763,0.56693,8,0.02971669,29.71669
0.36673,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
0.40291,0.56715,174.399,-3.384,-178.474,-0.1071,0.23772,0.56715,8,0.02949669,29.49669
0.43627,0.56659,174.251,-3.329,-178.527,-0.10672,0.23754,0.56659,8,0.03005669,30.05669
0.46757,0.56613,174.385,-3.399,-178.582,-0.10659,0.23739,0.56613,8,0.03051669,30.51669
0.502,0.56693,174.328,-3.37,-178.488,-0.10689,0.23763,0.56693,8,0.02971669,29.71669
0.53353,0.56699,174.516,-3.35,-178.518,-0.10702,0.23776,0.56699,8,0.02965669,29.65669
0.56534,0.56669,174.534,-3.455,-178.528,-0.10697,0.23757,0.56669,8,0.02995669,29.95669
0.60477,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
0.63409,0.56676,174.592,-3.435,-178.59,-0.10682,0.23777,0.56676,8,0.02988669,29.88669
0.66597,0.56604,174.326,-3.54,-178.5,-0.1068,0.23759,0.56604,8,0.03060669,30.60669
0.70525,0.56699,174.516,-3.35,-178.518,-0.10702,0.23776,0.56699,8,0.02965669,29.65669
0.73519,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
0.7691,0.56638,174.404,-3.581,-178.461,-0.10697,0.23767,0.56638,8,0.03026669,30.26669
0.80356,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
0.83456,0.56659,174.251,-3.329,-178.527,-0.10672,0.23754,0.56659,8,0.03005669,30.05669
0.87293,0.56674,174.134,-3.363,-178.483,-0.10679,0.2375,0.56674,8,0.02990669,29.90669
0.9014,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
0.93453,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
0.97236,0.56687,174.051,-3.248,-178.543,-0.10668,0.23756,0.56687,8,0.02977669,29.77669
1.00347,0.56677,174.445,-3.336,-178.533,-0.10681,0.23767,0.56677,8,0.02987669,29.87669
1.03458,0.56622,174.521,-3.549,-178.506,-0.1069,0.23771,0.56622,8,0.03042669,30.42669
1.07126,0.56693,174.328,-3.37,-178.488,-0.10689,0.23763,0.56693,8,0.02971669,29.71669
1.10312,0.56629,174.268,-3.432,-178.537,-0.10666,0.23735,0.56629,8,0.03035669,30.35669
