t,height,roll_deg,pitch_deg,yaw_deg,x_cam,y_cam,z_cam,marker_id,height_relative_m,height_relative_mm
0.02317,0.56217,176.151,-1.893,-175.249,-0.09067,0.22678,0.56217,8,0.03447669,34.47669
0.05626,0.56245,176.123,-1.562,-175.332,-0.09031,0.22671,0.56245,8,0.03419669,34.19669
0.09602,0.56227,176.391,-1.902,-175.251,-0.09074,0.22688,0.56227,8,0.03437669,34.37669
0.12589,0.56256,176.364,-1.566,-175.333,-0.09038,0.22681,0.56256,8,0.03408669,34.08669
0.16431,0.56227,176.391,-1.902,-175.251,-0.09074,0.22688,0.56227,8,0.03437669,34.37669
0.19100,0.56271,176.229,-1.629,-175.292,-0.09045,0.22677,0.56271,8,0.03393669,33.93669
0.22374,0.56279,176.06,-1.638,-175.272,-0.09057,0.22674,0.56279,8,0.03385669,33.85669
0.26020,0.5621,176.319,-1.885,-175.269,-0.09055,0.2268,0.5621,8,0.03454669,34.54669
0.29050,0.56289,176.301,-1.644,-175.273,-0.09065,0.22684,0.56289,8,0.03375669,33.75669
0.32255,0.56211,176.528,-1.841,-175.292,-0.09067,0.22692,0.56211,8,0.03453669,34.53669
0.36121,0.56279,176.06,-1.638,-175.272,-0.09057,0.22674,0.56279,8,0.03385669,33.85669
0.39068,0.56271,176.229,-1.629,-175.292,-0.09045,0.22677,0.56271,8,0.03393669,33.93669
0.42308,0.56289,176.301,-1.644,-175.273,-0.09065,0.22684,0.56289,8,0.03375669,33.75669
0.46122,0.56289,176.301,-1.644,-175.273,-0.09065,0.22684,0.56289,8,0.03375669,33.75669
0.49133,0.56211,176.528,-1.841,-175.292,-0.09067,0.22692,0.56211,8,0.03453669,34.53669
0.52257,0.56211,176.528,-1.841,-175.292,-0.09067,0.22692,0.56211,8,0.03453669,34.53669
0.56496,0.56202,176.286,-1.832,-175.29,-0.0906,0.22682,0.56202,8,0.03462669,34.62669
0.59071,0.56202,176.286,-1.832,-175.29,-0.0906,0.22682,0.56202,8,0.03462669,34.62669
0.62345,0.56217,176.151,-1.893,-175.249,-0.09067,0.22678,0.56217,8,0.03447669,34.47669
0.66064,0.56274,176.439,-1.582,-175.314,-0.09058,0.22689,0.56274,8,0.03390669,33.90669
0.69356,0.56211,176.528,-1.841,-175.292,-0.09067,0.22692,0.56211,8,0.03453669,34.53669
0.72685,0.56211,176.528,-1.841,-175.292,-0.09067,0.22692,0.56211,8,0.03453669,34.53669
0.75875,0.56211,176.528,-1.841,-175.292,-0.09067,0.22692,0.56211,8,0.03453669,34.53669
0.79215,0.56312,175.819,-1.56,-175.291,-0.09054,0.22678,0.56312,8,0.03352669,33.52669
0.82740,0.56202,176.286,-1.832,-175.29,-0.0906,0.22682,0.56202,8,0.03462669,34.62669
0.85932,0.56227,176.391,-1.902,-175.251,-0.09074,0.22688,0.56227,8,0.03437669,34.37669
0.89166,0.56227,176.391,-1.902,-175.251,-0.09074,0.22688,0.56227,8,0.03437669,34.37669
0.92805,0.56227,176.391,-1.902,-175.251,-0.09074,0.22688,0.56227,8,0.03437669,34.37669
0.95966,0.56236,176.046,-1.754,-175.308,-0.09057,0.22686,0.56236,8,0.03428669,34.28669
0.99351,0.56271,176.229,-1.629,-175.292,-0.09045,0.22677,0.56271,8,0.03393669,33.93669
1.02777,0.56227,176.391,-1.902,-175.251,-0.09074,0.22688,0.56227,8,0.03437669,34.37669
1.06277,0.56227,176.391,-1.902,-175.251,-0.09074,0.22688,0.56227,8,0.03437669,34.37669
1.09175,0.56211,176.528,-1.841,-175.292,-0.09067,0.22692,0.56211,8,0.03453669,34.53669
1.12907,0.56274,176.439,-1.582,-175.314,-0.09058,0.22689,0.56274,8,0.03390669,33.90669
1.16034,0.56271,176.229,-1.629,-175.292,-0.09045,0.22677,0.56271,8,0.03393669,33.93669
1.19630,0.56246,176.264,-1.659,-175.382,-0.09031,0.22681,0.56246,8,0.03418669,34.18669
1.22686,0.56194,176.453,-1.825,-175.31,-0.09048,0.22685,0.56194,8,0.03470669,34.70669
1.26106,0.56227,176.391,-1.902,-175.251,-0.09074,0.22688,0.56227,8,0.03437669,34.37669
1.29623,0.56227,176.391,-1.902,-175.251,-0.09074,0.22688,0.56227,8,0.03437669,34.37669
1.32924,0.56227,176.391,-1.902,-175.251,-0.09074,0.22688,0.56227,8,0.03437669,34.37669
1.35867,0.56211,176.528,-1.841,-175.292,-0.09067,0.22692,0.56211,8,0.03453669,34.53669
1.39924,0.56211,176.528,-1.841,-175.292,-0.09067,0.22692,0.56211,8,0.03453669,34.53669
1.42863,0.56184,176.353,-1.919,-175.359,-0.0904,0.22685,0.56184,8,0.03480669,34.80669
1.46080,0.56211,176.528,-1.841,-175.292,-0.09067,0.22692,0.56211,8,0.03453669,34.53669
1.49608,0.56264,176.197,-1.575,-175.313,-0.0905,0.22679,0.56264,8,0.03400669,34.00669
1.52947,0.56297,175.953,-1.498,-175.331,-0.09047,0.22682,0.56297,8,0.03367669,33.67669
1.55892,0.56211,176.528,-1.841,-175.292,-0.09067,0.22692,0.56211,8,0.03453669,34.53669
1.59742,0.56227,176.391,-1.902,-175.251,-0.09074,0.22688,0.56227,8,0.03437669,34.37669
1.62763,0.56273,176.295,-1.483,-175.264,-0.09057,0.22679,0.56273,8,0.03391669,33.91669
1.65860,0.56271,176.229,-1.629,-175.292,-0.09045,0.22677,0.56271,8,0.03393669,33.93669
1.69683,0.56227,176.391,-1.902,-175.251,-0.09074,0.22688,0.56227,8,0.03437669,34.37669
1.72662,0.56194,176.453,-1.825,-175.31,-0.09048,0.22685,0.56194,8,0.03470669,34.70669
1.76902,0.56271,176.229,-1.629,-175.292,-0.09045,0.22677,0.56271,8,0.03393669,33.93669
1.79442,0.56227,176.391,-1.902,-175.251,-0.09074,0.22688,0.56227,8,0.03437669,34.37669
1.82707,0.56211,176.528,-1.841,-175.292,-0.09067,0.22692,0.56211,8,0.03453669,34.53669
1.86290,0.56227,176.391,-1.902,-175.251,-0.09074,0.22688,0.56227,8,0.03437669,34.37669
2.06361,0.56217,176.151,-1.893,-175.249,-0.09067,0.22678,0.56217,8,0.03447669,34.47669
2.09452,0.56317,176.275,-1.308,-175.356,-0.09029,0.22678,0.56317,8,0.03347669,33.47669
2.12797,0.5626,175.988,-1.624,-175.291,-0.09038,0.22667,0.5626,8,0.03404669,34.04669
2.16296,0.56245,176.123,-1.562,-175.332,-0.09031,0.22671,0.56245,8,0.03419669,34.19669
2.19438,0.56211,176.528,-1.841,-175.292,-0.09067,0.22692,0.56211,8,0.03453669,34.53669
2.23104,0.56211,176.528,-1.841,-175.292,-0.09067,0.22692,0.56211,8,0.03453669,34.53669
2.26585,0.56289,176.301,-1.644,-175.273,-0.09065,0.22684,0.56289,8,0.03375669,33.75669
2.29503,0.56227,176.391,-1.902,-175.251,-0.09074,0.22688,0.56227,8,0.03437669,34.37669
2.33185,0.56211,176.528,-1.841,-175.292,-0.09067,0.22692,0.56211,8,0.03453669,34.53669
2.36336,0.56279,176.06,-1.638,-175.272,-0.09057,0.22674,0.56279,8,0.03385669,33.85669
2.39615,0.56211,176.528,-1.841,-175.292,-0.09067,0.22692,0.56211,8,0.03453669,34.53669
2.43271,0.56274,176.439,-1.582,-175.314,-0.09058,0.22689,0.56274,8,0.03390669,33.90669
2.46257,0.56227,176.391,-1.902,-175.251,-0.09074,0.22688,0.56227,8,0.03437669,34.37669
2.49632,0.56211,176.528,-1.841,-175.292,-0.09067,0.22692,0.56211,8,0.03453669,34.53669
2.53106,0.56256,176.364,-1.566,-175.333,-0.09038,0.22681,0.56256,8,0.03408669,34.08669
2.56404,0.56227,176.391,-1.902,-175.251,-0.09074,0.22688,0.56227,8,0.03437669,34.37669
2.59669,0.56227,176.391,-1.902,-175.251,-0.09074,0.22688,0.56227,8,0.03437669,34.37669
2.63178,0.56256,176.364,-1.566,-175.333,-0.09038,0.22681,0.56256,8,0.03408669,34.08669
2.66314,0.56264,176.197,-1.575,-175.313,-0.0905,0.22679,0.56264,8,0.03400669,34.00669
2.69622,0.56271,176.229,-1.629,-175.292,-0.09045,0.22677,0.56271,8,0.03393669,33.93669
2.73536,0.56211,176.528,-1.841,-175.292,-0.09067,0.22692,0.56211,8,0.03453669,34.53669
2.76259,0.56202,176.286,-1.832,-175.29,-0.0906,0.22682,0.56202,8,0.03462669,34.62669
2.79951,0.56211,176.528,-1.841,-175.292,-0.09067,0.22692,0.56211,8,0.03453669,34.53669
2.83449,0.56289,176.301,-1.644,-175.273,-0.09065,0.22684,0.56289,8,0.03375669,33.75669
2.86291,0.56332,176.139,-1.373,-175.316,-0.09036,0.22673,0.56332,8,0.03332669,33.32669
2.90074,0.56291,176.367,-1.498,-175.245,-0.09077,0.22686,0.56291,8,0.03373669,33.73669
2.93132,0.56194,176.287,-1.655,-175.388,-0.09019,0.22656,0.56194,8,0.03470669,34.70669
2.96421,0.56211,176.528,-1.841,-175.292,-0.09067,0.22692,0.56211,8,0.03453669,34.53669
2.99893,0.56202,176.286,-1.832,-175.29,-0.0906,0.22682,0.56202,8,0.03462669,34.62669
3.03471,0.56271,176.229,-1.629,-175.292,-0.09045,0.22677,0.56271,8,0.03393669,33.93669
3.06298,0.56256,176.364,-1.566,-175.333,-0.09038,0.22681,0.56256,8,0.03408669,34.08669
3.10040,0.56211,176.528,-1.841,-175.292,-0.09067,0.22692,0.56211,8,0.03453669,34.53669
3.13235,0.56218,176.256,-2.109,-175.274,-0.09096,0.22676,0.56218,8,0.03446669,34.46669
3.20000,0.59059,175.205,-1.471,-175.256,-0.09358,0.23486,0.59059,8,0.00605669,6.05669
3.23207,0.60015,175.105,0.284,-175.85,-0.08391,0.23759,0.60015,8,-0.00350331,-3.50331
3.26363,0.59199,175.311,0.299,-175.607,-0.08235,0.23429,0.59199,8,0.00465669,4.65669
