t,height,roll_deg,pitch_deg,yaw_deg,x_cam,y_cam,z_cam,marker_id,height_relative_m,height_relative_mm
0.03104,0.56217,176.151,-1.893,-175.249,-0.09067,0.22678,0.56217,8,0.03447669,34.47669
0.06413,0.56245,176.123,-1.562,-175.332,-0.09031,0.22671,0.56245,8,0.03419669,34.19669
0.10389,0.56227,176.391,-1.902,-175.251,-0.09074,0.22688,0.56227,8,0.03437669,34.37669
0.13376,0.56256,176.364,-1.566,-175.333,-0.09038,0.22681,0.56256,8,0.03408669,34.08669
0.17218,0.56227,176.391,-1.902,-175.251,-0.09074,0.22688,0.56227,8,0.03437669,34.37669
0.19887,0.56271,176.229,-1.629,-175.292,-0.09045,0.22677,0.56271,8,0.03393669,33.93669
0.23161,0.56279,176.06,-1.638,-175.272,-0.09057,0.22674,0.56279,8,0.03385669,33.85669
0.26807,0.5621,176.319,-1.885,-175.269,-0.09055,0.2268,0.5621,8,0.03454669,34.54669
0.29837,0.56289,176.301,-1.644,-175.273,-0.09065,0.22684,0.56289,8,0.03375669,33.75669
0.33042,0.56211,176.528,-1.841,-175.292,-0.09067,0.22692,0.56211,8,0.03453669,34.53669
0.36908,0.56279,176.06,-1.638,-175.272,-0.09057,0.22674,0.56279,8,0.03385669,33.85669
0.39855,0.56271,176.229,-1.629,-175.292,-0.09045,0.22677,0.56271,8,0.03393669,33.93669
0.43095,0.56289,176.301,-1.644,-175.273,-0.09065,0.22684,0.56289,8,0.03375669,33.75669
0.46909,0.56289,176.301,-1.644,-175.273,-0.09065,0.22684,0.56289,8,0.03375669,33.75669
0.4992,0.56211,176.528,-1.841,-175.292,-0.09067,0.22692,0.56211,8,0.03453669,34.53669
0.53044,0.56211,176.528,-1.841,-175.292,-0.09067,0.22692,0.56211,8,0.03453669,34.53669
0.57283,0.56202,176.286,-1.832,-175.29,-0.0906,0.22682,0.56202,8,0.03462669,34.62669
0.59858,0.56202,176.286,-1.832,-175.29,-0.0906,0.22682,0.56202,8,0.03462669,34.62669
0.63132,0.56217,176.151,-1.893,-175.249,-0.09067,0.22678,0.56217,8,0.03447669,34.47669
0.66851,0.56274,176.439,-1.582,-175.314,-0.09058,0.22689,0.56274,8,0.03390669,33.90669
0.70143,0.56211,176.528,-1.841,-175.292,-0.09067,0.22692,0.56211,8,0.03453669,34.53669
0.73472,0.56211,176.528,-1.841,-175.292,-0.09067,0.22692,0.56211,8,0.03453669,34.53669
0.76662,0.56211,176.528,-1.841,-175.292,-0.09067,0.22692,0.56211,8,0.03453669,34.53669
0.80002,0.56312,175.819,-1.56,-175.291,-0.09054,0.22678,0.56312,8,0.03352669,33.52669
0.83527,0.56202,176.286,-1.832,-175.29,-0.0906,0.22682,0.56202,8,0.03462669,34.62669
0.86719,0.56227,176.391,-1.902,-175.251,-0.09074,0.22688,0.56227,8,0.03437669,34.37669
0.89953,0.56227,176.391,-1.902,-175.251,-0.09074,0.22688,0.56227,8,0.03437669,34.37669
0.93592,0.56227,176.391,-1.902,-175.251,-0.09074,0.22688,0.56227,8,0.03437669,34.37669
0.96753,0.56236,176.046,-1.754,-175.308,-0.09057,0.22686,0.56236,8,0.03428669,34.28669
1.00138,0.56271,176.229,-1.629,-175.292,-0.09045,0.22677,0.56271,8,0.03393669,33.93669
1.03564,0.56227,176.391,-1.902,-175.251,-0.09074,0.22688,0.56227,8,0.03437669,34.37669
1.07064,0.56227,176.391,-1.902,-175.251,-0.09074,0.22688,0.56227,8,0.03437669,34.37669
1.09962,0.56211,176.528,-1.841,-175.292,-0.09067,0.22692,0.56211,8,0.03453669,34.53669
1.13694,0.56274,176.439,-1.582,-175.314,-0.09058,0.22689,0.56274,8,0.03390669,33.90669
1.16821,0.56271,176.229,-1.629,-175.292,-0.09045,0.22677,0.56271,8,0.03393669,33.93669
