t,v_cmd,v_mes,x_rel
0.0000,0.00001,0.00000,0.00000
0.0140,0.00220,0.00000,0.00000
0.0220,0.00345,0.00001,0.00000
0.0300,0.00471,0.00001,0.00000
0.0380,0.00596,0.00345,0.00002
0.0460,0.00720,0.00345,0.00005
0.0540,0.00845,0.00596,0.00009
0.0620,0.00968,0.00596,0.00014
0.0700,0.01091,0.00845,0.00021
0.0780,0.01214,0.00845,0.00027
0.0860,0.01335,0.01091,0.00036
0.0940,0.01456,0.01091,0.00045
0.1021,0.01576,0.01335,0.00055
0.1101,0.01695,0.01335,0.00066
0.1181,0.01812,0.01576,0.00078
0.1261,0.01929,0.01576,0.00091
0.1341,0.02044,0.01812,0.00105
0.1421,0.02158,0.01812,0.00119
0.1501,0.02271,0.02044,0.00135
0.1581,0.02382,0.02044,0.00152
0.1661,0.02492,0.02271,0.00170
0.1741,0.02600,0.02271,0.00170
0.1821,0.02707,0.02271,0.00188
0.1901,0.02812,0.02492,0.00207
0.1981,0.02915,0.02492,0.00227
0.2061,0.03016,0.02812,0.00249
0.2141,0.03115,0.02812,0.00272
0.2221,0.03213,0.03016,0.00296
0.2301,0.03308,0.03016,0.00320
0.2381,0.03401,0.03213,0.00345
0.2461,0.03492,0.03213,0.00371
0.2541,0.03581,0.03401,0.00398
0.2622,0.03668,0.03401,0.00425
0.2702,0.03752,0.03581,0.00454
0.2782,0.03834,0.03581,0.00482
0.2862,0.03914,0.03752,0.00512
0.2942,0.03991,0.03752,0.00542
0.3022,0.04065,0.03914,0.00574
0.3102,0.04137,0.03914,0.00605
0.3182,0.04206,0.04065,0.00637
0.3262,0.04273,0.04065,0.00670
0.3342,0.04337,0.04206,0.00703
0.3422,0.04398,0.04206,0.00737
0.3502,0.04456,0.04337,0.00772
0.3582,0.04512,0.04337,0.00806
0.3662,0.04565,0.04456,0.00842
0.3742,0.04615,0.04456,0.00878
0.3822,0.04661,0.04565,0.00914
0.3902,0.04705,0.04565,0.00951
0.3982,0.04746,0.04661,0.00988
0.4062,0.04785,0.04661,0.01025
0.4142,0.04819,0.04746,0.01063
0.4222,0.04851,0.04746,0.01101
0.4302,0.04880,0.04746,0.01101
0.4382,0.04906,0.04819,0.01139
0.4462,0.04929,0.04819,0.01178
0.4542,0.04948,0.04880,0.01217
0.4622,0.04965,0.04880,0.01256
0.4702,0.04978,0.04948,0.01296
0.4782,0.04988,0.04948,0.01335
0.4862,0.04995,0.04978,0.01375
0.4942,0.04999,0.04978,0.01415
0.5022,0.05000,0.04995,0.01455
0.5102,0.04997,0.04995,0.01495
0.5183,0.04992,0.05000,0.01535
0.5263,0.04983,0.05000,0.01575
0.5343,0.04971,0.04992,0.01615
0.5423,0.04956,0.04992,0.01655
0.5503,0.04938,0.04971,0.01694
0.5583,0.04916,0.04971,0.01734
0.5663,0.04892,0.04938,0.01774
0.5743,0.04864,0.04938,0.01813
0.5823,0.04834,0.04892,0.01852
0.5903,0.04800,0.04892,0.01892
0.5983,0.04763,0.04834,0.01930
0.6063,0.04724,0.04834,0.01969
0.6143,0.04681,0.04763,0.02007
0.6223,0.04635,0.04763,0.02045
0.6303,0.04587,0.04681,0.02083
0.6383,0.04535,0.04681,0.02120
0.6463,0.04481,0.04587,0.02157
0.6543,0.04424,0.04587,0.02193
0.6623,0.04364,0.04481,0.02229
0.6703,0.04301,0.04481,0.02265
0.6783,0.04236,0.04364,0.02300
0.6863,0.04167,0.04364,0.02300
0.6943,0.04097,0.04364,0.02335
0.7024,0.04023,0.04236,0.02369
0.7104,0.03947,0.04236,0.02403
0.7184,0.03869,0.04023,0.02435
0.7264,0.03788,0.04023,0.02468
0.7344,0.03705,0.03869,0.02499
0.7424,0.03619,0.03869,0.02530
0.7504,0.03531,0.03705,0.02559
0.7584,0.03441,0.03705,0.02589
0.7664,0.03349,0.03531,0.02617
0.7744,0.03255,0.03531,0.02646
0.7824,0.03158,0.03349,0.02673
0.7904,0.03060,0.03349,0.02699
0.7984,0.02959,0.03158,0.02725
0.8064,0.02857,0.03158,0.02750
0.8144,0.02753,0.02959,0.02774
0.8224,0.02647,0.02959,0.02798
0.8304,0.02540,0.02753,0.02820
0.8384,0.02430,0.02753,0.02842
0.8464,0.02320,0.02540,0.02862
0.8544,0.02208,0.02540,0.02883
0.8624,0.02094,0.02320,0.02902
0.8704,0.01979,0.02320,0.02920
0.8784,0.01863,0.02094,0.02937
0.8864,0.01746,0.02094,0.02954
0.8945,0.01628,0.01863,0.02969
0.9025,0.01508,0.01863,0.02984
0.9105,0.01388,0.01628,0.02997
0.9185,0.01267,0.01628,0.02997
0.9265,0.01145,0.01628,0.03010
0.9345,0.01022,0.01388,0.03022
0.9425,0.00899,0.01388,0.03033
0.9505,0.00775,0.01022,0.03042
0.9585,0.00650,0.01022,0.03050
0.9665,0.00525,0.00775,0.03056
0.9745,0.00400,0.00775,0.03063
0.9825,0.00275,0.00525,0.03067
0.9905,0.00149,0.00525,0.03071
0.9985,0.00024,0.00275,0.03074
1.0065,-0.00102,0.00275,0.03076
1.0145,-0.00228,0.00024,0.03076
1.0225,-0.00353,0.00024,0.03077
1.0305,-0.00479,-0.00228,0.03075
1.0385,-0.00604,-0.00228,0.03073
1.0465,-0.00728,-0.00479,0.03070
1.0545,-0.00852,-0.00479,0.03066
1.0625,-0.00976,-0.00728,0.03060
1.0705,-0.01099,-0.00728,0.03055
1.0785,-0.01221,-0.00976,0.03047
1.0865,-0.01343,-0.00976,0.03039
1.0945,-0.01463,-0.01221,0.03030
1.1025,-0.01583,-0.01221,0.03020
1.1105,-0.01702,-0.01463,0.03009
1.1186,-0.01820,-0.01463,0.02997
1.1266,-0.01936,-0.01702,0.02984
1.1346,-0.02051,-0.01702,0.02970
1.1426,-0.02165,-0.01702,0.02970
1.1506,-0.02278,-0.01936,0.02955
1.1586,-0.02389,-0.01936,0.02939
1.1666,-0.02499,-0.02165,0.02922
1.1746,-0.02607,-0.02165,0.02905
1.1826,-0.02714,-0.02499,0.02886
1.1906,-0.02818,-0.02499,0.02866
1.1986,-0.02921,-0.02714,0.02844
1.2066,-0.03022,-0.02714,0.02822
1.2146,-0.03122,-0.02921,0.02799
1.2226,-0.03219,-0.02921,0.02776
1.2306,-0.03314,-0.03122,0.02751
1.2386,-0.03407,-0.03122,0.02726
1.2466,-0.03498,-0.03314,0.02700
1.2547,-0.03587,-0.03314,0.02673
1.2627,-0.03673,-0.03498,0.02645
1.2707,-0.03757,-0.03498,0.02617
1.2787,-0.03839,-0.03673,0.02588
1.2867,-0.03919,-0.03673,0.02559
1.2947,-0.03995,-0.03839,0.02528
1.3027,-0.04070,-0.03839,0.02498
1.3107,-0.04141,-0.03995,0.02466
1.3187,-0.04211,-0.03995,0.02434
1.3267,-0.04277,-0.04141,0.02401
1.3347,-0.04341,-0.04141,0.02368
1.3427,-0.04402,-0.04277,0.02333
1.3507,-0.04460,-0.04277,0.02299
1.3587,-0.04515,-0.04402,0.02264
1.3667,-0.04568,-0.04402,0.02229
1.3747,-0.04618,-0.04515,0.02193
1.3827,-0.04664,-0.04515,0.02157
1.3907,-0.04708,-0.04618,0.02120
1.3987,-0.04749,-0.04618,0.02083
1.4067,-0.04787,-0.04618,0.02083
1.4147,-0.04822,-0.04708,0.02045
1.4227,-0.04853,-0.04708,0.02008
1.4307,-0.04882,-0.04787,0.01969
1.4387,-0.04908,-0.04787,0.01931
1.4467,-0.04930,-0.04882,0.01892
1.4548,-0.04950,-0.04882,0.01853
1.4628,-0.04966,-0.04930,0.01813
1.4708,-0.04979,-0.04930,0.01774
1.4788,-0.04989,-0.04966,0.01734
1.4868,-0.04996,-0.04966,0.01695
1.4948,-0.04999,-0.04989,0.01655
1.5028,-0.05000,-0.04989,0.01615
1.5108,-0.04997,-0.04999,0.01575
1.5188,-0.04991,-0.04999,0.01535
1.5268,-0.04982,-0.04997,0.01495
1.5348,-0.04970,-0.04997,0.01455
1.5428,-0.04955,-0.04982,0.01415
1.5508,-0.04936,-0.04982,0.01375
1.5588,-0.04915,-0.04955,0.01335
1.5668,-0.04890,-0.04955,0.01296
1.5748,-0.04863,-0.04915,0.01257
1.5828,-0.04832,-0.04915,0.01217
1.5908,-0.04798,-0.04863,0.01178
1.5988,-0.04761,-0.04863,0.01139
1.6068,-0.04721,-0.04798,0.01101
1.6148,-0.04678,-0.04798,0.01063
1.6228,-0.04632,-0.04721,0.01025
1.6308,-0.04584,-0.04721,0.00987
1.6388,-0.04532,-0.04632,0.00950
1.6468,-0.04477,-0.04632,0.00913
1.6548,-0.04420,-0.04532,0.00877
1.6628,-0.04360,-0.04532,0.00877
1.6708,-0.04297,-0.04532,0.00840
1.6789,-0.04231,-0.04420,0.00805
1.6869,-0.04163,-0.04420,0.00770
1.6949,-0.04092,-0.04231,0.00735
1.7029,-0.04018,-0.04231,0.00702
1.7109,-0.03942,-0.04092,0.00669
1.7189,-0.03864,-0.04092,0.00636
1.7269,-0.03783,-0.03942,0.00604
1.7349,-0.03699,-0.03942,0.00573
1.7429,-0.03614,-0.03783,0.00542
1.7509,-0.03526,-0.03783,0.00512
1.7589,-0.03435,-0.03614,0.00483
1.7669,-0.03343,-0.03614,0.00454
1.7749,-0.03248,-0.03435,0.00427
1.7829,-0.03152,-0.03435,0.00399
1.7909,-0.03053,-0.03248,0.00373
1.7989,-0.02953,-0.03248,0.00347
1.8069,-0.02850,-0.03053,0.00322
1.8149,-0.02746,-0.03053,0.00298
1.8229,-0.02640,-0.02850,0.00275
1.8309,-0.02533,-0.02850,0.00252
1.8389,-0.02423,-0.02640,0.00231
1.8469,-0.02313,-0.02640,0.00210
1.8550,-0.02200,-0.02423,0.00190
1.8630,-0.02087,-0.02423,0.00171
1.8710,-0.01972,-0.02200,0.00153
1.8790,-0.01856,-0.02200,0.00135
1.8870,-0.01738,-0.01972,0.00119
1.8950,-0.01620,-0.01972,0.00103
1.9030,-0.01501,-0.01738,0.00089
1.9110,-0.01380,-0.01738,0.00089
1.9190,-0.01259,-0.01738,0.00075
1.9270,-0.01137,-0.01501,0.00063
1.9350,-0.01014,-0.01501,0.00051
1.9430,-0.00891,-0.01137,0.00041
1.9510,-0.00767,-0.01137,0.00032
1.9590,-0.00642,-0.00891,0.00025
1.9670,-0.00517,-0.00891,0.00018
1.9750,-0.00392,-0.00642,0.00012
1.9830,-0.00267,-0.00642,0.00007
1.9910,-0.00141,-0.00392,0.00004
1.9990,-0.00015,-0.00392,0.00000
2.0070,0.00110,-0.00141,-0.00001
2.0150,0.00236,-0.00141,-0.00002
2.0230,0.00362,0.00110,-0.00002
2.0310,0.00487,0.00110,-0.00001
2.0390,0.00612,0.00362,0.00002
2.0470,0.00736,0.00362,0.00005
2.0551,0.00860,0.00612,0.00009
2.0631,0.00984,0.00612,0.00014
2.0711,0.01107,0.00860,0.00021
2.0791,0.01229,0.00860,0.00028
2.0871,0.01351,0.01107,0.00036
2.0951,0.01471,0.01107,0.00045
2.1031,0.01591,0.01351,0.00056
2.1111,0.01710,0.01351,0.00066
2.1191,0.01827,0.01591,0.00079
2.1271,0.01944,0.01591,0.00092
2.1351,0.02059,0.01591,0.00092
2.1431,0.02173,0.01827,0.00106
2.1511,0.02285,0.01827,0.00121
2.1591,0.02396,0.02173,0.00137
2.1671,0.02506,0.02173,0.00155
2.1751,0.02614,0.02396,0.00174
2.1831,0.02720,0.02396,0.00193
2.1911,0.02825,0.02614,0.00214
2.1991,0.02928,0.02614,0.00234
2.2071,0.03029,0.02825,0.00257
2.2151,0.03128,0.02825,0.00279
2.2231,0.03225,0.03029,0.00303
2.2311,0.03320,0.03029,0.00328
2.2391,0.03413,0.03225,0.00353
2.2471,0.03504,0.03225,0.00379
2.2552,0.03592,0.03413,0.00406
2.2632,0.03679,0.03413,0.00433
2.2712,0.03763,0.03592,0.00462
2.2792,0.03844,0.03592,0.00491
2.2872,0.03923,0.03763,0.00521
2.2952,0.04000,0.03763,0.00551
2.3032,0.04075,0.03923,0.00582
2.3112,0.04146,0.03923,0.00614
2.3192,0.04215,0.04075,0.00646
2.3272,0.04281,0.04075,0.00679
2.3352,0.04345,0.04215,0.00712
2.3432,0.04406,0.04215,0.00746
2.3512,0.04464,0.04345,0.00781
2.3592,0.04519,0.04345,0.00815
2.3673,0.04571,0.04464,0.00851
2.3753,0.04621,0.04464,0.00887
2.3833,0.04667,0.04464,0.00887
2.3913,0.04711,0.04571,0.00923
2.3993,0.04752,0.04571,0.00960
2.4073,0.04789,0.04667,0.00997
2.4153,0.04824,0.04667,0.01034
2.4233,0.04855,0.04789,0.01073
2.4313,0.04884,0.04789,0.01111
2.4393,0.04909,0.04855,0.01150
2.4473,0.04932,0.04855,0.01189
2.4553,0.04951,0.04909,0.01228
2.4633,0.04967,0.04909,0.01267
2.4713,0.04980,0.04951,0.01307
2.4793,0.04989,0.04951,0.01346
2.4873,0.04996,0.04980,0.01386
2.4953,0.04999,0.04980,0.01426
2.5033,0.05000,0.04996,0.01466
2.5113,0.04997,0.04996,0.01506
2.5193,0.04991,0.05000,0.01546
2.5273,0.04982,0.05000,0.01586
2.5353,0.04969,0.04991,0.01626
2.5433,0.04954,0.04991,0.01666
2.5513,0.04935,0.04969,0.01706
2.5593,0.04913,0.04969,0.01745
2.5673,0.04889,0.04935,0.01785
2.5753,0.04861,0.04935,0.01824
2.5833,0.04830,0.04889,0.01863
2.5913,0.04796,0.04889,0.01903
2.5994,0.04758,0.04830,0.01941
2.6074,0.04718,0.04830,0.01980
2.6154,0.04675,0.04758,0.02018
2.6234,0.04629,0.04758,0.02056
2.6314,0.04580,0.04675,0.02093
2.6394,0.04528,0.04675,0.02131
2.6474,0.04474,0.04675,0.02131
2.6554,0.04416,0.04580,0.02168
2.6634,0.04356,0.04580,0.02204
2.6714,0.04293,0.04416,0.02240
2.6794,0.04227,0.04416,0.02275
2.6874,0.04158,0.04293,0.02309
2.6954,0.04087,0.04293,0.02344
2.7034,0.04013,0.04158,0.02377
2.7114,0.03937,0.04158,0.02410
2.7194,0.03858,0.04013,0.02443
2.7274,0.03777,0.04013,0.02475
2.7354,0.03694,0.03858,0.02506
